"Article","Web Description","Brand","DQ Score"
"ml00227","Barracuda Lynx Mountain Bike Pink And White","Moore Large",0.95
"ml00241","Barracuda Gents Liberty Trekking Bike Silver 700c","Moore Large",0.95
"ml00267","Classic Touriste 700c Ladies Bike White","Moore Large",0.95
"ml00279","Flite Taser 18 Speed Dual Suspension Ladies BikePink and Black","Moore Large",0.95
"ml00290","Lombardo 350 Gents 21-Speed Bike 26inch","Moore Large",0.95
"ml00292","Lombardo 500 Gents 21-Speed 26inch","Moore Large",0.95
"ml00293","Lombardo 600 Gents 27-Speed Bike 26inch","Moore Large",0.95
"ml00294","Lombardo Rimini Ladies Single-Speed 26in","Moore Large",0.95
"445365","Vitesse Swift 21 Speed Road Bike White, 22"" Wheel","Vittesse",0.95
"445366","Vitesse Rapid Alloy Road Bike 22in Frame 700c Wheel","Vittesse",0.95
"445367","Vitesse Rush Alloy Road Bike 22in Frame 700c Wheel","Vittesse",0.95
