"Article","Web Description","Brand","Type","Coverage","Colour","Pack Qty","Size","DQ Score"
"3186740","Cuprinol Wood Preserver Clear 1L","Cuprinol","Wood Preservers",NA,"Clear","1","1L",0.941666666666667
"337114","Cuprinol Less Mess Shed Fence Woodland Green 5L","Cuprinol","Shed and Fence Paint",NA,"Pink","1","5L",0.941666666666667
"337115","Cuprinol Less Mess Shed Fence Autumn Gold 5L","Cuprinol","Shed and Fence Paint",NA,"Gold","1","5L",0.941666666666667
"338573","Cuprinol Less Mess Shed Fence Rich Oak 5L","Cuprinol","Shed and Fence Paint",NA,"Brown","1","5L",0.941666666666667
"338574","Cuprinol Less Mess Shed Fence Rustic Brown 5L","Cuprinol","Shed and Fence Paint",NA,"Brown","1","5L",0.941666666666667
"408556","Cuprinol Woodworm Killer 1L","Cuprinol","Woodcare Treatment",NA,NA,"1","1L",0.883333333333333
"346530","Dulux Weathershield Exterior Satin PaintPure Brilliant White 750ml","Dulux","Exterior Satin Paint",NA,"White",NA,"750ml",0.883333333333333
"341866","Hammerite Direct to Rust Metal Paint HammeredDark Green 750ml","Hammerite","Metal Paint",NA,"Green","1","750ml",0.941666666666667
"341914","Hammerite Direct to Rust Metal Paint SmoothBlue 250ml","Hammerite","Metal Paint",NA,"Blue","1","250ml",0.941666666666667
"10842","Wilko Exterior Gloss PaintEvergreen 750ml","Wilko","Exterior Gloss Paint","11m²","Green",NA,"750ml",0.941666666666667
"10847","Wilko Exterior Gloss PaintBlack 750ml","Wilko","Exterior Gloss Paint",NA,"Black",NA,"750ml",0.883333333333333
"10848","Wilko Exterior Gloss PaintPure Brilliant White 2.5L","Wilko","Exterior Gloss Paint",NA,"White",NA,"2.5L",0.883333333333333
"189005","Wilko Matt Brick and Tile PaintRed 500ml","Wilko","Brick and Tile Paint","7m²","Red",NA,"500ml",0.941666666666667
"189096","Wilko Step and Tile Gloss PaintRed 500ml","Wilko","Step and Tile Paint","7m²","Red",NA,"500ml",0.941666666666667
"19872","Wilko Exterior UndercoatPure Brilliant White 2.5L","Wilko","Exterior Undercoat Paint",NA,"White",NA,"2.5L",0.883333333333333
"210403","Wilko Decking Protector Clear 2.5L","Wilko","Decking Paint and Cleaner",NA,"Clear","1","2.5L",0.941666666666667
"210414","Wilko Satin Outdoor Varnish Clear 250ml","Wilko","Outdoor Varnish","4m²",NA,NA,"250ml",0.883333333333333
"210415","Wilko Satin Outdoor Varnish Clear 750ml","Wilko","Outdoor Varnish",NA,NA,"1","750ml",0.883333333333333
"210416","Wilko Gloss Outdoor Varnish Clear 250ml","Wilko","Outdoor Varnish",NA,NA,"1","250ml",0.883333333333333
"210417","Wilko Gloss Outdoor Varnish Clear 750ml","Wilko","Outdoor Varnish",NA,NA,"1","750ml",0.883333333333333
"220352","Wilko Exterior Gloss PaintDeep Red 750ml","Wilko","Exterior Gloss Paint","11m²","Red",NA,"750ml",0.941666666666667
"220353","Wilko Exterior Gloss Paint Oxford Blue 750ml","Wilko","Exterior Gloss Paint","11m²","Blue",NA,"750ml",0.941666666666667
"278711","Wilko Dark Creocote 4L","Wilko","Creocote",NA,"Clear","1","4L",0.941666666666667
"341909","Wilko Step and Tile Gloss PaintBlack 500ml","Wilko","Step and Tile Paint",NA,"Black","1","500ml",0.941666666666667
"342004","Wilko Garage Floor PaintGrey 2.5L","Wilko","Garage Floor Paint","30sq m","Grey",NA,"2.5L",0.941666666666667
"342015","Wilko Garage Floor PaintRed 2.5L","Wilko","Garage Floor Paint",NA,"Red",NA,"2.5L",0.883333333333333
"342037","Wilko Exterior Gloss PaintCambridge Blue 750ml","Wilko","Exterior Gloss Paint",NA,"Blue",NA,"750ml",0.883333333333333
"342038","Wilko Exterior Quick Dry Satin PaintPure Brilliant White 750ml","Wilko","Exterior Satin Paint","9sq m","White",NA,"750ml",0.941666666666667
"342039","Wilko Exterior Quick Dry Satin PaintBlack 750ml","Wilko","Exterior Satin Paint",NA,"Black",NA,"750ml",0.883333333333333
"342040","Wilko Exterior Quick Dry Satin PaintMagnolia 750ml","Wilko","Exterior Satin Paint",NA,"Cream",NA,"750ml",0.883333333333333
"342041","Wilko Exterior Quick Dry Satin PaintLimestone 750ml","Wilko","Exterior Satin Paint",NA,"Grey",NA,"750ml",0.883333333333333
"342042","Wilko Exterior Quick Dry Satin PaintCountry Garden 750ml","Wilko","Exterior Satin Paint",NA,"Green",NA,"750ml",0.883333333333333
"342043","Wilko Exterior Quick Dry Satin PaintSummer Rain 750ml","Wilko","Exterior Satin Paint",NA,"Blue",NA,"750ml",0.883333333333333
"342045","Wilko Exterior Quick Dry Primer UndercoatPure Brilliant White 750ml","Wilko","Exterior Undercoat Paint","10sq m","White",NA,"750ml",0.941666666666667
"342047","Wilko Exterior Quick Dry Primer UndercoatPure Brilliant White 2.5L","Wilko","Exterior Undercoat Paint","33sq m","White",NA,"2.5L",0.941666666666667
"344858","Wilko Exterior Gloss PaintBlack 2.5L","Wilko","Exterior Gloss Paint",NA,"Black",NA,"2.5L",0.883333333333333
"344868","Wilko Exterior UndercoatDark Grey 2.5L","Wilko","Exterior Undercoat Paint",NA,"Grey",NA,"2.5L",0.883333333333333
"84087","Wilko Exterior Gloss PaintPure Brilliant White 750ml","Wilko","Exterior Gloss Paint","11m²","White",NA,"750ml",0.941666666666667
"84088","Wilko Exterior UndercoatPure Brilliant White 750ml","Wilko","Exterior Undercoat Paint","9m²","White",NA,"750ml",0.941666666666667
