"Article","Web Description","Brand","DQ Score"
"342508","Black and Decker Workbench Foldable with ClampingAction","Black & Decker",0.8625
"sg00013","Workbench 2 Tier Boltless Black","Storage Solutions",0.8625
"286633","Ultra Steel Screwdriver Set 38 Piece","Wilko",0.95
"343425","Wilko Tape Measure 8m","Wilko Best",0.8625
"344220","Wilko Professional Hacksaw 12in","Wilko Best",0.8625
"206883","Wilko Radio Screwdriver Small","Wilko Functional",0.8625
"209196","Wilko Precision Screwdriver Set 6 Piece","Wilko Functional",0.8625
"209348","Functional Neon Tape Measure 3m","Wilko Functional",0.8625
"343371","Wilko G Clamp 2in","Wilko Functional",0.8625
"343372","Wilko G Clamp 3in","Wilko Functional",0.8625
"343413","Wilko Plastic Torpedo Level 9in","Wilko Functional",0.8625
"343441","Wilko Long Nose Plier 6In","Wilko Functional",0.8625
"343453","Wilko Best Magnetic Tip Screwdriver  6 x 100mm","Wilko Functional",0.8625
"343552","Wilko Adjustable Wrench 8In","Wilko Functional",0.95
"343911","Wilko Wood Chisel Set","Wilko Functional",0.8625
"344234","Wilko Tenon Saw 250mm","Wilko Functional",0.8625
