"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"237316","Air Wick Freshmatic Colours of Nature RefillWhite Vanilla Bean 250ml","Air Wick","Refills",NA,"250ml",0.9125
"244594","Air Wick Freshmatic Max Refill Touch of LuxuryCrisp Linen and Lilac 250ml","Air Wick","Refills",NA,"250ml",0.9125
"346442","Air Wick Freshmatic Max Automatic Spray GadgetWhite","Air Wick","Units","1",NA,0.9125
"346443","Air Wick Freshmatic Max Air Freshener Gadget Stone","Air Wick","Units","1",NA,0.9125
"426233","Air Wick Freshmatic Twin Refill Mulled Wine 500ml","Air Wick","Refills","1",NA,0.9125
"346447","Glade Automatic Spray Refill Relaxing Zen 269ml","Glade","Refills","1",NA,0.9125
"346482","Glade Auto Refill Bali Sandalwood and Jasmine","Glade","Refills","1",NA,0.9125
"346483","Glade Auto Refill  Clean Linen","Glade","Refills","1",NA,0.9125
"348538","Glade Sense and Spray Unit Relaxing Zen","Glade","Units","1",NA,0.9125
"352945","Glade Sense and Spray Refill Relaxing Zen","Glade","Refills","1",NA,0.9125
"403477","Glade Touch n Fresh Refill Lilly Of The Valley","Glade","Refills","1",NA,0.9125
"420416","Glade Automatic Spray Unit Relaxing Zen","Glade","Units","1",NA,0.9125
"420417","Glade Automatic Spray Unit Bali Sandalwoodand Jasmine","Glade","Units","1",NA,0.9125
"425111","Glade Sense & Spray Refill Clean Linen 2pk","Glade","Refills","1",NA,0.9125
"427211","Glade Sense & Spray Refill Relaxing Zen 2pk","Glade","Refills","1",NA,0.9125
"427212","Glade Autospray Refill Relaxing Zen 2pk","Glade","Refills",NA,NA,0.825
"427225","Glade Autospray Refill Clean Linen 2pk","Glade","Refills",NA,NA,0.825
