"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Age","DQ Score"
"448344","Paw Patrol Ryder's Pup Pad","Paw Patrol","Learning Toys","Multi","2x AAA Batteries Included","1","3 Years +",1
"330600","Vtech Baby Toot Toot Drivers Deluxe Track Set","Vtech","Cars and Playsets","Multi","3x AAA Batteries Included","1","5 Years +",1
"419721","Vtech Baby Little Friendlies Sing AlongSpinning Wheel","Vtech","Learning Toys","Multi","2x AAA Batteries Included","1","6 Years +",1
"428481","Vtech Sort And Discover Drum","Vtech","Learning Toys","Multi","2x AAA Batteries Included","1","12 Months +",1
"438491","Vtech Sit and Discover Ride On","Vtech","Ride Ons","Multi","2x AA Batteries Included","1","2 Years +",1
"438840","Vtech Toot Toot Friends Kingdom Fairy","Vtech","Musical Toys","Multi","2x AAA Batteries Included","1","12 Months +",1
"438845","Vtech Babys Laptop","Vtech","Learning Toys","Multi","2x AA Batteries Included","1","2 Years +",1
"438846","Vtech Push and Play Spinning Top","Vtech","Learning Toys","Multi","2x AA Batteries Included","1","18 Months +",1
"438847","Vtech Cosy Kitten Carrier","Vtech","Learning Toys","Multi","2x AAA Batteries Included","1","18 Months +",1
"438852","Vtech Teletubbies Time To Rhyme Book","Vtech","Learning Toys","Multi","2x AAA Batteries Included","1","9 Months +",1
"450516","Vtech Toot Toot Drivers Assortment","Vtech","Learning Toys","Multi","2x AAA Batteries Included","1","12 Months +",1
"402734","Wilko Play Kettle","Wilko","Play Kitchens","Multi","2x AA Batteries Included","1","3 Years +",1
