"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","DQ Score"
"453040","Kitchen Craft Flavour and Marinade Injector","Kitchen Kraft","Icing, Bags and Nozzles",NA,"1",NA,0.81
"435751","Pyrex Measuring Jug 0.25L","Pyrex","Jugs",NA,"1","0.25L",0.93
"435752","Pyrex Non Handled Measuring Jug 0.5L","Pyrex","Jugs",NA,"1","500ml",0.93
"434384","Salter Add and Weigh Jug Kitchen Scale","Salter","Kitchen Scales",NA,"1","2.2kg",0.93
"435794","Salter Add and Weigh Mechanical Kitchen Scale","Salter","Kitchen Scales",NA,"1","4kg",0.88
"435796","Salter Arc Electrical Kitchen Scale","Salter","Kitchen Scales",NA,"1","3kg",0.88
"10951","Wilko Balloon Whisk 30cm","Wilko","Whisk",NA,"1","30cm",0.93
"112508","Wilko Kitchen Rolling Pin Wooden Mini","Wilko","Rolling Pins","Cream","1",NA,0.93
"112532","Wilko Revolving Rolling Pin Beech","Wilko","Rolling Pins","Cream","1",NA,0.93
"302283","Wilko Flour Sifter","Wilko","Flour Sifter",NA,"1","10.2 x 15.5 x 9.3cm",0.93
"304539","Wilko Mini Scales","Wilko","Kitchen Scales","Multi",NA,"Mini",0.93
"318430","Wilko Kitchen Scales Cream 5kg","Wilko","Kitchen Scales","Cream",NA,"5kg",0.93
"318431","Wilko Stainless Steel Electronic Kitchen Scales","Wilko","Kitchen Scales","Pink","1",NA,0.93
"328736","Wilko Baking Book 150 Recipes","Wilko","Cook Books","Multi","1",NA,0.93
"351590","Wilko Spatula Plain Pastels","Wilko","Spatula and Turners",NA,NA,NA,0.79
"435792","Wilko Book Stand","Wilko","Book Stand",NA,"1",NA,0.86
"435793","Wilko Mini Measures","Wilko","Mini Measures",NA,"1",NA,0.86
"435797","Wilko Big Mixing Bowl","Wilko","Bowls",NA,"1",NA,0.86
"435866","Wilko Conical Sieve","Wilko","Colander and Sieves",NA,NA,NA,0.79
"448502","Wilko Stainless Steel Pallet Knife","Wilko","Icing, Bags and Nozzles","Metal","1",NA,0.93
"78397","Wilko Kitchen Rolling Pin Beech 35cm","Wilko","Rolling Pins",NA,"1","35cm",0.93
"284840","Wilko Kitchen Spatula Wooden","Wilko Functional","Spatula and Turners",NA,"1",NA,0.81
"313140","Wilko Pastry Brush","Wilko Functional","Brush","Cream","1",NA,0.88
