"Article","Web Description","Brand","Type","Colour","Pack Qty","Washable","Size","Material","DQ Score"
"307683","Wilko Bath Sheet Aqua Blue","Wilko","Bath Sheets","Blue",NA,"Washable","95x150cm","100% Cotton",0.95
"307684","Wilko Bath Sheet Deep Blue","Wilko","Bath Sheets","Blue",NA,"Washable","95x150cm","100% Cotton",0.95
"315543","Wilko Bath Sheet Soft Cream","Wilko","Bath Sheets","Cream",NA,"Washable","95x150cm","100% Cotton",0.95
"412083","Wilko Bath Sheet Heather","Wilko","Bath Sheets",NA,"1",NA,NA,"100% Cotton",0.85
"412109","Wilko Bath Sheet Dark Teal","Wilko","Bath Sheets","Blue","1",NA,NA,"100% Cotton",0.9
"412122","Wilko Bath Sheet Coastal Blue","Wilko","Bath Sheets",NA,"1",NA,NA,"100% Cotton",0.85
"423351","Wilko Bath Sheet Hot Pink","Wilko","Bath Sheets",NA,"1",NA,NA,NA,0.8
"423357","Wilko Bath Sheet Chilli Red","Wilko","Bath Sheets",NA,NA,NA,NA,NA,0.75
"423363","Wilko Bath Towel Inferno","Wilko","Bath Sheets",NA,"1",NA,NA,NA,0.8
"427617","Wilko Best Bath Sheet Duck Egg","Wilko","Bath Sheets",NA,NA,NA,NA,NA,0.75
"307688","Wilko Best Bath Sheet Beige","Wilko Best","Bath Sheets","Brown",NA,"Washable","100x150cm","100% Cotton",0.95
"307690","Wilko Best Bath Sheet White","Wilko Best","Bath Sheets","White",NA,"Washable","100x150cm","100% Cotton",0.95
