"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"313506","Adidas Pure Game Shower Gel 250ml","Adidas","Male Shower Gel and Body Wash","1","250ml",1
"430627","Adidas Climacool Shower Gel 250ml","Adidas","Male Shower Gel and Body Wash","1","250ml",1
"402943","Beckham Instinct Hair and Body Wash 200ml","Beckham","Male Shower Gel and Body Wash","1","200ml",1
"125912","Carex Complete Aloe Vera Handwash 250ml","Carex","Hand Wash","1","250ml",1
"253713","Carex Complete Aloe Vera Hand Gel 50ml","Carex","Hand Wash","1","50ml",1
"407607","Carex Complete Bubble Gum Handwash 250ml","Carex","Hand Wash","1","250ml",1
"407608","Carex Protect+ Plus Original Handwash 250ml","Carex","Hand Wash","1","250ml",1
"407609","Carex Protect+ Plus Aloe Vera Handwash 250ml","Carex","Hand Wash","1","250ml",1
"450606","Cuticura Antibacterial Hand GelCrisp and Fresh 50ml","Cuticura","Hand Wash","1","50ml",1
"310013","Dettol Antibacterial Soap 2 x 100g","Dettol","Soap","1","2 x 100g",1
"407953","Dettol E45 No Touch Liquid Hand WashRose and Shea Butter 250ml","Dettol","Hand Wash","1","250ml",1
"302935","Dove Soap Bars 6pk x 100g","Dove","Soap","1","6 x 100g",1
"319907","Dove Beauty Cream 2 x 100gShea Butter and Warm Vanilla","Dove","Soap","2pk","100g",1
"32975","Imperial Leather Original Talcum Powder 300g","Imperial Leather","Talc","1","300g",1
"100599","Lynx Shower Gel Africa 250ml","Lynx","Male Shower Gel and Body Wash","1","250ml",1
"200159","Lynx Dark Temptation Shower Gel 250ml","Lynx","Male Shower Gel and Body Wash","1","250ml",1
"306845","Lynx Shower Gel Africa 400ml","Lynx","Male Shower Gel and Body Wash","1","400ml",1
"352526","Lynx Shower Gel Excite 400ml","Lynx","Male Shower Gel and Body Wash","1","400ml",1
"412784","Lynx Black Shower Gel 250ml","Lynx","Male Shower Gel and Body Wash","1","250ml",1
"278680","Nivea Creme Soft Care Soap 2 x 100g","Nivea","Soap","1","2x100g",1
"224601","Original Source  Lime Shower 250ml","Original Source","Shower Gel and Body Wash","1","250ml",1
"189975","Palmolive Naturals Nourishing With Milk and HoneyHand Wash 300ml","Palmolive","Hand Wash","1","300ml",1
"207708","Palmolive Hand Wash Aquarium","Palmolive","Hand Wash","1","300ml",1
"207711","Palmolive Shower Gel Milk Honey 250ml","Palmolive","Shower Gel and Body Wash","1","250ml",1
"315936","Palmolive Shower Gel Coconut 250ml","Palmolive","Shower Gel and Body Wash","1","250ml",1
"449844","Palmolive Body Butter Shower Cream 250mlMint Shake","Palmolive","Shower Gel and Body Wash","1","250ml",1
"452929","Paw Patrol Foam Soap 250ml","Paw Patrol","Shower Gel and Body Wash","1","250ml",1
"228459","Radox Feel Good Fragrance Muscle Soak Bath Soak500ml","Radox","Bubble Bath, Creams and Oils","1","500ml",1
"228463","Radox Feel Good Fragrance Relax Bath Soak 500ml","Radox","Bubble Bath, Creams and Oils","1","500ml",1
"232263","Radox Feel Awake for Men 2in1 Shower Gel 250ml","Radox","Male Shower Gel and Body Wash","1","250ml",1
"232267","Radox Feel Pampered Shower Cream 250ml","Radox","Shower Gel and Body Wash","1","250ml",1
"290454","Radox Men Feel Heroic 2in1 Shower Gel 250ml","Radox","Male Shower Gel and Body Wash","1","250ml",1
"321208","Radox Bath Therapy Nourish Shea Butter and Ginger500ml","Radox","Bubble Bath, Creams and Oils","1","500ml",1
"332701","Radox Feel Good Fragrance Muscle Therapy Bath Soak500ml","Radox","Bubble Bath, Creams and Oils","1","500ml",1
"332706","Radox Feel Energised Shower Gel 250ml","Radox","Shower Gel and Body Wash","1","250ml",1
"333176","Right Guard Xtreme Body And Hair Shower GelCool 250ml","Right Guard","Male Shower Gel and Body Wash","1","250ml",1
"333177","Right Guard Xtreme Body And Hair Shower GelEnergy 250ml","Right Guard","Male Shower Gel and Body Wash","1","250ml",1
"333212","Right Guard Xtreme Body And Hair Shower GelFresh 250ml","Right Guard","Male Shower Gel and Body Wash","1","250ml",1
"276689","Sanex Shower Gel Dermo Sensitive 500ml","Sanex","Shower Gel and Body Wash","1","500ml",1
"443328","Sanex Dermo Moisturising Bath Foam 500mlNormal to Dry Skin","Sanex","Bubble Bath, Creams and Oils","1","500ml",1
"47387","Simple Pure Soap for Sensitive Skin 2 x 125g","Simple","Soap","1","2 X 125g",1
"296708","Wilko Hand Wash Original Antibacterial 500ml","Wilko","Hand Wash","1","500ml",1
"296709","Wilko Hand Wash Antibacterial 500ml","Wilko","Hand Wash","1","500ml",1
"296710","Wilko Hand Wash Nourishing Antibacterial  500ml","Wilko","Hand Wash","1","500ml",1
"325512","Wilko Handwash Family White 500ml","Wilko","Hand Wash","1","500ml",1
"325515","Wilko Hand Sanitiser Original 50ml","Wilko","Hand Wash","1","50ml",1
"346745","Wilko Talc 500g","Wilko","Talc","1","500g",1
"346803","Wilko Sensitive Antibacterial Handwash 500ml","Wilko","Hand Wash","1","500ml",1
"346806","Wilko Creme Bath  White 750ml","Wilko","Bubble Bath, Creams and Oils","1","750ml",1
"346807","Wilko Creme Bath  Lilac 750ml","Wilko","Bubble Bath, Creams and Oils","1","750ml",1
"347555","Wilko  Body Scrub 250mlStrawberry and Pomegranate","Wilko","Face Washes and Body Scrubs","1","250ml",1
"347558","Wilko Fruits Hand Lotion 250mlStrawberry and Pomegranate","Wilko","Hand Cream","1","250ml",1
"347559","Wilko Fruits Hand Wash 250mlStrawberry and Pomegranate","Wilko","Hand Wash","1","250ml",1
"347560","Wilko Fruits Bath Foam 250mlCoconut and Vanilla","Wilko","Bubble Bath, Creams and Oils","1","500ml",1
"347561","Wilko Fruits Shower Gel 250mlCoconut and Vanilla","Wilko","Shower Gel and Body Wash","1","250ml",1
"347565","Wilko Fruits Hand Lotion 250mlCoconut and Vanilla","Wilko","Hand Cream","1","250ml",1
"347566","Wilko Fruits Handwash 250mlCoconut and Vanilla","Wilko","Hand Wash","1","250ml",1
"347588","Wilko Fruits Bath Foam 250mlRhubarb and Vanilla","Wilko","Bubble Bath, Creams and Oils","1","500ml",1
"347589","Wilko Fruits Shower Gel 250mlRhubarb and Vanilla","Wilko","Shower Gel and Body Wash","1","250ml",1
"347590","Wilko Fruits Body Scrub 250mlRhubarb and Vanilla","Wilko","Face Washes and Body Scrubs","1","250ml",1
"347593","Wilko Fruits Hand Lotion 250mlRhubarb and Vanilla","Wilko","Hand Cream","1","250ml",1
"347594","Wilko Fruits Hand Wash Rhubarb and Vanilla 250ml","Wilko","Hand Wash","1","250ml",1
"347595","Wilko Fruits Bath Foam 500mlPassion Fruit and Watermelon","Wilko","Bubble Bath, Creams and Oils","1","500ml",1
"347596","Wilko Fruits Shower Gel 250mlPassion Fruit and Watermelon","Wilko","Shower Gel and Body Wash","1","250ml",1
"347597","Wilko Fruits Body Scrub 250mlPassion Fruit and Watermelon","Wilko","Face Washes and Body Scrubs","1","250ml",1
"347600","Wilko Fruit Hand Lotion 250mlPassion Fruit and Melon","Wilko","Soap","1","250ml",1
"347601","Wilko Fruits Hand Wash 250mlPassion Fruit and Watermelon","Wilko","Hand Wash","1","250ml",1
"347616","Wilko Fruits Bath Foam 500mlStrawberry and Pomegranate","Wilko","Bubble Bath, Creams and Oils","1","500ml",1
"347617","Wilko Fruits Shower Gel 250mlStrawberry and Pomegranate","Wilko","Shower Gel and Body Wash","1","250ml",1
"347682","Wilko Fruits Bath Bomb Strawberry andPomegranate 170g","Wilko","Bath Bombs and Salts","1","170g",1
