"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"453366","Air Wick VIPoo Lemon Idol Spray 55ml","Air Wick","Toilet Spray","6","3.25 x 3.25 x 13.2",1
"453367","Air Wick VIPoo Fruity Pin Up Spray 55ml","Air Wick","Toilet Spray","6","3.25 x 3.25 x 13.2",1
"453368","Air Wick VIPoo Rosy Starlet Spray 55ml","Air Wick","Toilet Spray","6","3.25 x 3.25 x 13.2",1
"453369","Air Wick VIPoo Lavender Superstar Spray 55ml","Air Wick","Toilet Spray","6","3.25 x 3.25 x 13.2",1
"168745","Jeyes Bloo Max Cistern Block 70g","Bloo","Toilet Blocks and Strips","1","70g",1
"435345","Bloo Foam Aroma Ocean Mist FragancedPowder 500g","Bloo","Toilet Cleaner","1","500g",1
"435346","Bloo Foam Aroma Rose and Apple Blossom FragancedPowder 500g","Bloo","Toilet Cleaner","1","500g",1
"200236","Cif Citrus Burst Bathroom Mousse 500ml","Cif","Bath and Shower Cleaners","1","500ml",1
"321019","Cillit Bang Active Bathroom Foam 600ml","Cillit Bang","Bath and Shower Cleaners","1","600ml",1
"1156840","Domestos Original Bleach 750ml","Domestos","Bleach","1","750ml",1
"186746","Domestos Bleach Aqua Blast 750ml","Domestos","Bleach","1","750ml",1
"277123","Domestos Bleach   Original Blue 2L","Domestos","Bleach","1","2L",1
"293164","Domestos Bleach Citrus 750ml","Domestos","Bleach","1","750ml",1
"333337","Domestos Toilet Wipes Fresh Fragrance 40pk","Domestos","Wipes","40s","40 Pack",1
"437751","Domestos Rimblock Power 5 Ocean","Domestos","Toilet Blocks and Strips","1","55g",1
"414749","Flash with Fabreze Bathroom Spray 450ml","Flash","Bath and Shower Cleaners","1","450ml",1
"225107","Harpic Original Limescale Remover 750ml","Harpic","Limescale Remover","1","750ml",1
"252160","Harpic Power Plus Toilet Cleaner, Original 750ml","Harpic","Toilet Cleaner","1","750ml",1
"334465","Harpic White and Shine Bleach with BakingSoda 750ml","Harpic","Bleach","1","750ml",1
"431958","Harpic Fresh Power Summer Breeze 39g","Harpic","Toilet Blocks and Strips","1","39g",1
"332012","Mr Muscle Toilet Power Lavender 750ml","Mr Muscle","Toilet Cleaner","1","750ml",1
"418013","Mr Muscle Bathroom Care Spray 500ml","Mr Muscle","Bath and Shower Cleaners","1","500ml",1
"418016","Mr Muscle Power Bathroom Cleaner 750ml","Mr Muscle","Bath and Shower Cleaners","1","750ml",1
"418019","Mr Muscle Power Shower Shine 750ml","Mr Muscle","Bath and Shower Cleaners","1","750ml",1
"403682","Parozone Bleach Original 1L","Parozone","Bleach","1","1L",1
"182764","Toilet Duck Rim Block Refill Wave","Toilet Duck","Toilet Blocks and Strips","1","55g",1
"294462","Toilet Duck 4in1 Liquid Cleaner Fresh Pine 750ml","Toilet Duck","Toilet Cleaner","1","750ml",1
"294464","Toilet Duck Liquid Marine 750ml","Toilet Duck","Toilet Cleaner","1","750ml",1
"319780","Toilet Duck Liquid Citrus 750ml","Toilet Duck","Toilet Cleaner","1","750ml",1
"430138","Wilko 2 in 1 Sink and Drain Unblocker Kit","Wilko","Sink and drain unblockers","1","500ml",1
