"Article","Web Description","Brand","Capacity","Type","Colour","Pack Qty","Size","Material","DQ Score"
"194334","Wilko Floor Tidy Chrome Plated","Wilko",NA,"Storage Tower","Metal","1","Single","Iron",0.95
"272465","Wilko Shower Caddy 3 Tier Chrome Effect","Wilko",NA,"Wall Units","Silver","1","12 x 22.5 x 46.5cm","Iron",0.95
"298738","Wilko Free Standing Storage Unit 3 Tier White","Wilko",NA,"Storage Tower","White","1","Single",NA,0.9
"310527","Wilko Rush 4 Drawer Unit Natural","Wilko",NA,"Storage Tower","Brown","1","Single",NA,0.9
"310528","Wilko Rush 2 Drawer Unit Natural","Wilko",NA,"Storage Tower","Brown","1","Single",NA,0.9
"310698","Wilko Set of 3 Baskets White","Wilko",NA,"Baskets","White","3",NA,NA,0.85
"310707","Wilko Split Wood Storage Unit 2 Drawer White","Wilko",NA,"Storage Tower","White","1","Single",NA,0.9
"310708","Wilko 4 Tier Storage Unit White","Wilko",NA,"Storage Tower","White","1","Single",NA,0.9
"310720","Wilko Bath Rack Chrome Plated","Wilko",NA,"Bath Racks","Metal","1","Single",NA,0.9
"327701","Wilko Small Caddy Black","Wilko",NA,"Bathroom Caddy","Black","1","Small",NA,0.9
"327702","Wilko Large Caddy Black","Wilko",NA,"Bathroom Caddy","Black","1","Large",NA,0.9
"341702","Wilko Woven Design Caddy Aqua Small","Wilko",NA,"Storage Caddy","Green",NA,"Small",NA,0.85
"342263","Wilko 4 Drawer Unit Beige Stripe","Wilko",NA,"Storage Tower","Brown","1","4 Drawer",NA,0.9
"342264","Wilko 4 Drawer Unit Blue Stripe","Wilko",NA,"Storage Tower","Blue","1","4 Drawer",NA,0.9
"423320","Wilko 3 Drawer Medium Tower Unit","Wilko",NA,"Storage Drawers",NA,"1","27cm x 19cm x 47.5cm","POLYPROPYLENE",0.9
"425897","Wilko Pop up  Bin Black","Wilko",NA,"Pop Up Bins",NA,"1","34cm x 45cm","Polyester",0.9
"425898","Wilko Pop up Bin White","Wilko",NA,"Pop Up Bins",NA,"1","34cm x 45cm","Polyester",0.9
"425899","Wilko Pop up Bin Aqua","Wilko",NA,"Pop Up Bins",NA,"1","34cm x 45cm","Polyester",0.9
"426428","Wilko Bathroom Caddy Aqua and White","Wilko",NA,"Storage Caddy",NA,"1","24cm x 16.5cm x 10cm","ABS Plastic",0.9
"426640","Wilko Nautical Stripe Laundry Bin","Wilko",NA,"Laundry Baskets",NA,"1","33cm x4 3cm x 60cm","Polyester Cotton",0.9
"426641","Wilko Nautical Stripe 4 Drawer Unit","Wilko",NA,"Storage Drawers",NA,"1","27.5cm x 26cm x 90cm","Polyester Cotton",0.9
"426642","Wilko Come Out In the Wash Laundry Bag","Wilko",NA,"Laundry Baskets",NA,"1","34cm x 36cm x 48cm","Polyester Cotton",0.9
"427760","Wilko Blue And White Striped Laundry Bag","Wilko",NA,"Laundry Baskets",NA,"1","34cmx36cmx48cm","Polyester Cotton",0.9
"431366","Wilko 4 Drawer Versatile Tallboy Storage UnitCharcoal","Wilko",NA,"Storage Tower",NA,"1","64.3cm x 18cm x 25cm","Steel, Polypropylene",0.9
"431367","Wilko 4 Drawer Versatile Tallboy Storage UnitCream","Wilko",NA,"Storage Tower",NA,"1","64.3cm x 18cm x 25cm","Steel, Polypropylene",0.9
"431368","Wilko 4 Drawer Versatile Tallboy Storage UnitCobblestone","Wilko",NA,"Storage Tower",NA,"1","64.3 x 18cm x 25cm","Steel, Polypropylene",0.9
"451455","Wilko Plastic Caddy Black","Wilko","3L","Bathroom Caddy",NA,"1","24cm x 16.5cm x 10cm","ABS Plastic 100%",0.95
"451456","Wilko Plastic Caddy Grey","Wilko","3L","Bathroom Caddy",NA,"1","24cm x 16.5cm x 10cm","ABS Plastic 100%",0.95
"451461","Wilko Baskets Set of 2","Wilko",NA,"Bathroom Caddy",NA,"2","17.5 x 30 x cm","Water Hyacinth 100%",0.9
"452662","Wilko Over Door Bath Storage","Wilko",NA,"Over Door Storage",NA,"1","25cm x18cm x65cm","Iron wire",0.9
