"Article","Web Description","DQ Score"
"451280","Kenwood Hand Mixer White HM220",0.85
"451281","Kenwood Compact Mini Chopper White CH180A",0.85
"451283","Kenwood Triblade Hand Blender 450W With Plus Turboand 0.5 Litre Bowl",0.85
"451284","Kenwood Blender 350w 1 Litre With Mill AttachmentWhite",0.85
"448378","Swan Vintage Stand Mixer Green",0.9
"448380","Swan Vintage Stand Mixer Red SP21010RN",0.95
"448381","Swan Retro Stand Mixer Black SP25010BN",0.95
"448382","Swan Retro Stand Mixer Cream 600W",0.95
"448383","Swan Retro Stand Mixer Green SP25010GN",0.95
"rx00021","Swan Compact Food Slicer SP10060N 150W White",0.85
"448415","Tower Xtreme Pro T12020GM",0.9
