"Article","Web Description","Brand","Type","Coverage","Colour","Pack Qty","Size","Material","DQ Score"
"438566","Fresco Wallpaper Apple Blossom Teal and Pink","Fresco","Floral Wallpaper","5.2m²","Green","1","10m x 0.52m","Paper",1
"439092","Fresco Wallpaper Cloud 9 Blue","Fresco","Motif Wallpaper","5.2m²","Blue","1","10m x 0.52m","Paper",1
"439097","Fresco Wallpaper Mai Blue","Fresco","Animal Print Wallpaper","5.2m²","Blue","1","10m x 0.52m","Paper",1
"439099","Fresco Wallpaper Oriental Blue","Fresco","Floral Wallpaper","5.2m²","Blue","1","10m x 0.52m","Paper",1
"436949","Superfresco Wallpaper Lucy Teal","Superfresco","Leaf Print Wallpaper","5.2m²","Multi","1","10m x 0.52m","Paper",1
"439149","Superfresco Easy Wallpaper Innocence Duck Egg","Superfresco","Floral Wallpaper","5.2m²","Blue","1","10m x 0.52m","Paper",1
"439152","Superfresco Wallpaper Easy Radiance Blue/Cream","Superfresco","Floral Wallpaper","5.2m²","Blue","1","10m x 0.52m","Paper",1
"449747","Superfresco Wallpaper Sprig Duck Egg","Superfresco","Floral Wallpaper","5.2m²","Blue","1","10m x 0.52m","Paper",1
"449751","Wilko Wallpaper Jackson Stripe Duck Egg","Wilko","Striped Wallpaper","5.2m²","Blue","1","10m x 0.52m","Paper",1
"450112","Wilko Wallpaper Cherry Blossom Duck Egg","Wilko","Floral Wallpaper","5.2m²","Blue","1","10m x 0.52m","Paper",1
