"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"452923","Aveeno Daily Moisturising Lotion 200ml","Aveeno","Body Moisturiser","1","200ml",1
"440385","Blistex Intensive Moisturiser SPF10","Blistex","Hand Cream","1","5g",1
"454551","Dove Coconut Oil and Almond Cream 250ml","Dove","Body Moisturiser","1","250ml",1
"303358","Garnier Intensive 7 Days Aloe Vera Body LotionNormal Skin 250ml","Garnier","Body Moisturiser","1","250ml",1
"303359","Garnier Intensive 7 Days Shea Butter Body LotionDry Skin 250ml","Garnier","Body Moisturiser","1","250ml",1
"439889","Garnier Ultimate Blends Honey Body Lotion VeryDry Skin 400ml","Garnier","Body Moisturiser","1","400ml",1
"439890","Garnier Ultimate Blends Argan Oil Body LotionNormal Skin 400ml","Garnier","Body Moisturiser","1","400ml",1
"439891","Garnier Ultimate Blends Olive Body Lotion DrySkin 400ml","Garnier","Body Moisturiser","1","400ml",1
"101056","Nivea Body Express Hydration Lotion 250ml","Nivea","Body Moisturiser","1","250ml",1
"127966","Nivea Soft Moisturising Cream 75ml","Nivea","Body Moisturiser","1","75ml",1
"137513","Nivea Soft Moisturising Cream 200ml","Nivea","Body Moisturiser","1","200ml",1
"238494","Nivea Body Lotion Firming Q10 Energy+ 400ml NormalSkin","Nivea","Body Moisturiser","1","400ml",1
"351155","Nivea Daily Essentials Sensitive Cleansing Milk200ml","Nivea","Body Moisturiser","1","200ml",1
"351602","Nivea In-Shower Body Moisturiser Indulging Cocoa250ml","Nivea","Body Moisturiser","1","250ml",1
"439495","Nivea Creme Tin 75ml","Nivea","Body Moisturisers","1","75ml",1
"207395","Palmers Cocoa Butter Lotion 250ml","Palmers","Body Moisturiser","1","250ml",1
"433560","Palmers Coconut Oil Body Lotion 250ml","Palmers","Body Moisturiser","1","250ml",1
"238385","Simple Replenishing Rich Moisturiser 125ml","Simple","Body Moisturiser","1","125ml",1
"253629","Vaseline Intensive Care Essential Lotion 400ml","Vaseline","Body Moisturiser","1","400ml",1
"33372","Vaseline Essential Healing Body Lotion 200ml","Vaseline","Body Moisturiser","1","200ml",1
"452955","Vaseline Cocoa Radiant Lotion 200ml","Vaseline","Body Moisturiser","1","200ml",1
"49970","Vaseline Intensive Care Advanced RepairLotion 200ml","Vaseline","Body Moisturiser","1","200ml",1
"452970","Wilko Aloe Vera Body Lotion 400ml","Wilko","Body Moisturiser","1","400ml",1
"452971","Wilko Cocoa Butter Body Cream 400ml","Wilko","Body Moisturiser","1","400ml",1
"457508","Wilko Fruits Limited Edition Cranberry BodySouffle 200ml","Wilko","Body Moisturisers","1","200ml",1
