"Article","Web Description","Brand","DQ Score"
"126943","3-In-One Multi Purpose Drip Oil 100ml","3in1",0.6
"242762","3-In-One Original Multi Purpose Oil Spray 200ml","3in1",0.6
"295954","Autocare Ice Scraper and Squeegee Assorted","Auto Care",0.6
"309930","Autocare Easy Sand Car Filler 250ml","Auto Care",0.6
"39773","Foot Pump","Auto Care",0.6
"427250","Double Barrel Foot Pump","Auto Care",0.6
"296722","CarPlan Blue Star Anti Freeze and Coolant 1L","Bluecol",0.6
"310666","CarPlan Blue Star De-Icer Aerosol 600ml","Bluestar",0.6
"207858","CarPlan Blue Star De-Icer Trigger 500ml","Car Plan",0.6
"207859","CarPlan Pre-Icer Trigger 500ml","Car Plan",0.6
"457093","T-Cut Rapid Scratch Remover 500ml","Car Plan",0.6
"457094","T-Cut Original Tin 300ml","Car Plan",0.6
"171542","Holts Gun Gum Repair Paste 200g","Hols",0.6
"171544","Holts Radweld Radiator Leak Repair 250ml","Hols",0.6
"171546","Holts Tyreweld Puncture Repair 400ml","Hols",0.6
"286894","Holts Radweld Plus Total Coolant Leak Repair 250m","Hols",0.6
"158375","Jump Leads 3m","Wilko",0.6
"322764","Auto Care Pop-up Frost Protector and Sun Shade200cm x 70cm","Wilko",0.6
"345133","Tow Rope","Wilko",0.6
