"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"286523","Dreamies Cat Treats Beef 60g","Dreamies","Biscuit Treats","1","60g",1
"286524","Dreamies Cat Treats Cheese 60g","Dreamies","Biscuit Treats","1","60g",1
"412797","Dreamies Cat Treats Beef and Cheese Mix 60g","Dreamies","Biscuit Treats","1","60g",1
"437718","Dreamies Cat Treats Cheese Mega Pack 180g","Dreamies","Biscuit Treats","180g","180g",1
"440893","Dreamies Cat Treats Snacky Mouse 60g","Dreamies","Treat Toys","1","60g",1
"449951","Dreamies Cat Treats Extra Crunch with Chicken 60g","Dreamies","Biscuit Treats","1","60g",1
"449952","Dreamies Cat Treats Extra Crunch with Salmon 60g","Dreamies","Biscuit Treats","1","60g",1
"449953","Dreamies Cat Treats Extra Crunch with Cheese 60g","Dreamies","Biscuit Treats","1","60g",1
"457336","Dreamies Deli-Catz Treats With Turkey 5x5g","Dreamies","Biscuit Treats","5","5x5g",1
"457337","Dreamies Deli-Catz Treats With Chicken 5x5g","Dreamies","Biscuit Treats","5","5x5g",1
"457338","Dreamies Deli-Catz Treats With Beef 5x5g","Dreamies","Biscuit Treats","5","5x5g",1
"315455","Felix Cat Treats Goody Bag Original Mix 60g","Felix","Biscuit Treats","1","60g",1
"315457","Felix Cat Treats Goody Bag Seaside Mix 60g","Felix","Biscuit Treats","1","60g",1
"259866","Webbox Cats Delight Cat Treats Tasty Stickssalmon and Trout 6pk","Webbox","Chews","1","30g",1
"303791","Webbox Cats Delight Cat Treats Tasty SticksTurkey and Lamb 6pk","Webbox","Chews","6pk","30g",1
"315453","Webbox Cats Delight Cat Treats Lick-e-Lix Chicken5 x 15g","Webbox","Cat Yoghurt","5","15g",1
"411303","Webbox Cats Delight Cat Treat Lick-e-LixSalmon 5 x 15g","Webbox","Cat Yoghurt","5","5x15g",1
"232303","Whiskas Cat Treats Temptations Chicken and Cheese60g","Whiskas","Biscuit Treats","1","60g",1
"292455","Whiskas Cat Treats Temptations Salmon 60g","Whiskas","Biscuit Treats","1","60g",1
"405673","Whiskas Cat Treat Dentabites Chicken 50g","Whiskas","Dental Treats","1","50g",1
"405674","Whiskas Cat Treat Dentabites Salmon 50g","Whiskas","Dental Treats","1","50g",1
"431584","Whiskas Cat Milk  3 x 200ml","Whiskas","Milk","3","3x200ml",1
"434383","Whiskas Cat Treats Anti-Hairball 55g","Whiskas","Anti Hairball","1","55g",1
"334044","Wilko Cat Treats Cushions Salmon 60g","Wilko","Biscuit Treats","1","60g",1
"334047","Wilko Cat Treats Cushions Cheese 60g","Wilko","Biscuit Treats","1","60g",1
"410510","Wilko Cat Treat Sticks Salmon and Trout 10 x 5g","Wilko","Chews","1","10x5g",1
"410511","Wilko Cat Treat Sticks Chicken and Liver 10 x 5g","Wilko","Chews","1","10x5g",1
"416497","Wilko Cat Milk 200ml","Wilko","Milk","200ml","200ml",1
"430585","Wilko Cat Treat Fish Mix 60g","Wilko","Biscuit Treats","1","60g",1
"430586","Wilko Cat Treat Dental 50g","Wilko","Biscuit Treats","1","50g",1
"453027","Wilko Cat Treat Catnip Drops 75g","Wilko","Catnip","1","75g",1
"454783","Wilko Chalkboard Cat Treat Tin","Wilko","Treat Tin","1","17.5cm x 11.8cm",1
"336183","Wilko Best Cat Treats Mini Strips Chicken 50g","Wilko Best","Meaty Mini Strips","1","50g",1
"336184","Wilko Best Cat Treats Mini Strips Duck 50g","Wilko Best","Meaty Mini Strips","1","50g",1
