"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"278722","Dreamies Cat Treats Salmon 60g","Dreamies","Biscuit Treats",NA,"60g",0.9125
"303789","Dreamies Cat Treats Duck 60g","Dreamies","Biscuit Treats",NA,"60g",0.9125
"315451","Dreamies Cat Treats Chicken and Duck 60g","Dreamies","Biscuit Treats",NA,"60g",0.9125
"437719","Dreamies Cat Treats Chicken Mega Pack 180g","Dreamies","Biscuit Treats","180g",NA,0.9125
"456430","Dreamies Cat Treats Salmon Mega Pack 180g","Dreamies","Biscuit Treats","1",NA,0.9125
"456431","Dreamies Cat Treats Tuna Mega Pack 180g","Dreamies","Biscuit Treats","1",NA,0.9125
"456432","Dreamies Cat Treats Turkey Mega Pack 180g","Dreamies","Biscuit Treats","1",NA,0.9125
"315456","Felix Cat Treats Goody Bag Mixed Grill 60g","Felix","Biscuit Treats",NA,"60g",0.9125
"336102","Felix Cat Treats Crispies Salmon and Trout 45g","Felix","Biscuit Treats",NA,"45g",0.9125
"259869","Webbox Cats Delight Cat Treats Tasty SticksChicken and Liver 6pk","Webbox","Chews",NA,"30g",0.9125
"232302","Whiskas Cat Treats Crunch 100g","Whiskas","Biscuit Treats",NA,"100g",0.9125
"334045","Wilko Cat Treats Cushions Chicken 60g","Wilko","Biscuit Treats",NA,"60g",0.9125
