"Article","Web Description","Brand","Type","Colour","Size","DQ Score"
"435822","Wilko Fruit Bowl Copper Effect","Wilko","Fruit Bowl","Metal","22 x 22 x 7cm",1
"440623","Wilko Cutlery Set Copper Effect 16pcs","Wilko","Cutlery Sets","Metal","16 piece",1
"447457","Wilko Copper Effect Teapot with Infuser","Wilko","Teapot","Metal","Thickness 1.6mm, L - 24cm, H - 3.2cm, CUP W - 5cm,",1
"450063","Wilko Pedal Bin Copper Effect 30L","Wilko","Pedal Bins","Metal","30L",1
"450064","Wilko Pedal Bin Copper  Effect 12L","Wilko","Pedal Bins","Metal","27.5cm x 26cm x 40cm",1
"452988","Wilko Copper Effect Microwave 20L","Wilko","Microwaves","Metal","20L",1
"452995","Wilko Copper Effect Hand Blender Se","Wilko","Mixers","Metal","600W",1
"452996","Wilko Copper Effect Hand Mixer","Wilko","Mixers","Metal","350W",1
"452997","Wilko Copper Effect Table Blender","Wilko","Blenders","Metal","500W",1
"453010","Wilko Mini Sauce Pan Copper Effect 9cm","Wilko","Serving Pan","Metal","9cm",1
"453011","Wilko Balti Dish Copper Effect 15cm","Wilko","Balti Dish","Metal","15cm",1
"453012","Wilko Balti Dish Copper Effect 19cm","Wilko","Balti Dish","Metal","19cm",1
"453015","Wilko Stand Mixer Copper Effect 4.5L","Wilko","Mixers","Metal","26.8 x 42 x 34.9cm",1
"453821","Wilko Copper Effect Cylinder Kettle 1.7L","Wilko","Jug Kettles","Metal","1.7L",1
"453822","Wilko Copper Effect 2 Slice Toaster","Wilko","Toasters","Metal","2 Slice",1
