"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","DQ Score"
"435820","Wilko Charger Copper Effect","Wilko","Charger Plates",NA,NA,NA,0.79
"435821","Wilko Cafetiere Copper Effect 800ml","Wilko","Cafetiere and Coffee Pots",NA,"1",NA,0.86
"435823","Wilko Coasters and Placemats Copper Colouredand Black Set of 8","Wilko","Placemat Set",NA,"8",NA,0.86
"435824","Wilko Salt and Pepper Mill Set Copper Effect","Wilko","Salt and Pepper Sets",NA,"2","12.5cm x 6cm x 16.5cm",0.93
"435853","Wilko Turner Copper Effect","Wilko","Spatula and Turners",NA,"1",NA,0.86
"435854","Wilko Ladle Copper Effect","Wilko","Spoons and Ladles",NA,"1",NA,0.86
"435855","Wilko Slotted Spoon Copper Effect","Wilko","Spoons and Ladles",NA,"1",NA,0.86
"435856","Wilko Masher Copper Effect","Wilko","Masher",NA,"1",NA,0.86
"435857","Wilko Spoon Copper Effect","Wilko","Spoons and Ladles",NA,"1",NA,0.86
"435871","Wilko Copper Casserole Tri Ply 20cm","Wilko","Casserole",NA,"1","20cm",0.93
"435872","Wilko Copper Frying Pan Tri Ply 24cm","Wilko","Frying Pans",NA,"1","1",0.93
"435873","Wilko Copper Saucepan Tri Ply 20cm","Wilko","Saucepans",NA,"1","20cm",0.93
"435874","Wilko Copper Saucepan Tri Ply 18cm","Wilko","Saucepans",NA,"1","18cm",0.93
"435875","Wilko Copper Saucepan Tri Ply 16cm","Wilko","Saucepans",NA,"1","16cm",0.93
"435877","Wilko Colander Copper Effect","Wilko","Colander and Sieves",NA,NA,NA,0.79
"435878","Wilko Tea and Coffee Canisters Copper Effect","Wilko","Tea, Coffee, Sugar Jars",NA,NA,NA,0.79
"435879","Wilko Knife Block Copper Effect 5pcs","Wilko","Knife Block",NA,NA,NA,0.79
"435880","Wilko Kettle Copper Effect 1.7L","Wilko","Dome Kettles","Metal","1",NA,0.93
"435881","Wilko 4 Slice Toaster Copper Effect","Wilko","Toasters","Metal","1",NA,0.93
"447294","Wilko Bowl Black with Copper Effect Lining25cm Diameter","Wilko",NA,"Multi","1","25cm",0.93
"450295","Wilko Towel Holder Copper Effect","Wilko","Kitchen Towel Holders",NA,"1","13cm x 13cm x 33cm",0.93
"450297","Wilko Utensil Holder Copper Effect","Wilko","Utensil Holder",NA,"1","12cm x 12cm x 20.5cm",0.93
"450300","Wilko Drainer Dish Large Copper Effect","Wilko","Dish Drainers",NA,"1","48cm x 32.5cm x 13.5cm",0.93
"452432","Wilko Bread Bin Copper Effect","Wilko","Bread Bins",NA,"1",NA,0.86
"453009","Wilko Mini Fry Pan Copper Effect","Wilko","Serving pan","Metal","1",NA,0.93
"453014","Wilko Scales Copper Effect","Wilko","Kitchen Scales","Metal","1",NA,0.93
"453107","Wilko Coffee Pot Copper Effect 600ml","Wilko","Cafetiere and Coffee Pots",NA,"1",NA,0.86
"453118","Wilko Tumbler Copper Effect","Wilko","Tumblers",NA,"1",NA,0.86
"453119","Wilko Barware Set Copper Effect","Wilko","Cocktail Set",NA,"5 pk",NA,0.86
"453120","Wilko Wire Basket Copper Effect 3pce","Wilko","Baskets",NA,"3pce",NA,0.86
"453121","Wilko Moscow Mule Mug Copper Effect","Wilko","Mugs",NA,NA,NA,0.79
"453122","Wilko Utensil Holder Copper Effect","Wilko","Utensil Holder",NA,"1",NA,0.86
"453137","Wilko Teapot Copper Effect 1L","Wilko","Teapot",NA,"1",NA,0.86
"453138","Wilko Utensil Holder Copper Effect","Wilko","Utensil Holder",NA,"1",NA,0.86
