"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","DQ Score"
"340055","Essence Blusher Brush","Essence","Face Brushes and Applicators","Multi","1",NA,0.93
"340056","Essence Powder Brush","Essence","Face Brushes and Applicators","Multi","1",NA,0.93
"340107","Essence Beauty Secret Fancy Lashes 01","Essence","False Eyelashes","Black","1",NA,0.93
"400704","Essence Eyebrow Tweezer","Essence","Tweezers","Multi","1",NA,0.93
"400712","Essence Make Up Bag","Essence","Cosmetic and Toiletry Bags","Multi","1",NA,0.93
"400771","essence make-up and powder sponges","Essence","Face Brushes and Applicators","Multi","1",NA,0.93
"415963","Essence Eye Blender Brush","Essence","Eye Care and Brushes",NA,"1",NA,0.86
"296233","Wilko Nail Polish Remover with Acetone 250ml","Wilko","Nail Care",NA,"1",NA,0.86
"347973","Wilko Nail Brush Clear","Wilko","Nail Care",NA,"1",NA,0.86
"347980","Wilko False Eyelashes  Volume","Wilko","False Eyelashes","Black","1",NA,0.93
"347981","Wilko False Eyelashes  Drama","Wilko","False Eyelashes","Black","1",NA,0.93
"347983","Wilko False Eyelashes Natural","Wilko","False Eyelashes","Black","1",NA,0.93
"347988","Wilko Premium Egg Shape Make Up Sponge","Wilko","Face Brushes and Applicators","White","1",NA,0.93
"347994","Wilko Eyelash Curler","Wilko","Eye Care and Brushes",NA,"1",NA,0.86
"347995","Wilko Hand Held Make Up Mirror","Wilko","Mirrors",NA,"1",NA,0.86
"347996","Wilko Make Up Sponges Multi 15pk","Wilko","Face Brushes and Applicators",NA,"15",NA,0.86
"347997","Wilko Make Up Velour Pads 2pk","Wilko","Face Brushes and Applicators",NA,"2pk",NA,0.86
"347999","Wilko Eye Shadow Applicators 20pk","Wilko","Face Brushes and Applicators",NA,"1",NA,0.86
"348000","Wilko Toe Separator","Wilko","Nail Care",NA,"1",NA,0.86
"348137","Wilko Tweezers Slanted Silver","Wilko","Tweezers",NA,"1",NA,0.86
"348140","Wilko Pencil Sharpener","Wilko","Eye Care and Brushes",NA,"1",NA,0.86
"348221","Wilko Emery Boards Long Lasting 5pk","Wilko","Nail Care",NA,"5pk",NA,0.86
"348223","Wilko Nail Buffer 4in1","Wilko","Nail Care",NA,"1",NA,0.86
"348225","Wilko Nail Clipper Silver","Wilko","Nail Care",NA,"1",NA,0.86
"348227","Wilko Toe Nail Clipper Silver","Wilko","Nail Care",NA,"1",NA,0.86
"348228","Wilko Straight Nail Scissors","Wilko","Nail Care",NA,"1",NA,0.86
"427347","Wilko I Like Cats Small Round Mirror","Wilko","Compact Mirror",NA,"1","0.4 x 7.5 x 7.5cm",0.93
"437384","Wilko Cosmetic Perspex Desktop Storage Drawers","Wilko","Cosmetic Storage",NA,"1","24 x 13.5 x 11cm",0.93
"437385","Wilko Cosmetic Perspex Storage Top","Wilko","Storage Container",NA,"1","22 x 12 x 8cm",0.93
"437390","Wilko Pumice Stone Ergonomic","Wilko","Pumice Stone",NA,"1","9 x 8 x 6cm",0.93
"437406","Wilko Luxury Powder Brush","Wilko","Face Brushes and Applicators",NA,"1","3.2x3.2x21.5",0.93
"437407","Wilko Luxury Stippler Brush","Wilko","Face Brushes and Applicators",NA,"1","2.2 x 2.2 x 21.5",0.93
"437408","Wilko Luxury Blusher Brush","Wilko","Face Brushes and Applicators",NA,"1","1.8 x 2.3 x 20.0",0.93
"437409","Wilko Luxury Foundation Brush","Wilko","Face Brushes and Applicators",NA,"1","1.5 x 2.5 x 20.0",0.93
"437410","Wilko Luxury Short Hair Stippling","Wilko","Face Brushes and Applicators",NA,"1","2.0 x 2.0 x 19.5",0.93
"437411","Wilko Luxury Concealer Brush","Wilko","Face Brushes and Applicators",NA,"1","0.4 x 0.8 x 18.0",0.93
"437412","Wilko Luxury Eyeliner Brush","Wilko","Face Brushes and Applicators",NA,"1","0.8 x 1.0 x 16.5",0.93
"437413","Wilko Luxury Eyebrow Comb","Wilko","Face Brushes and Applicators",NA,"1","0.8 x 2.5 x 17.5",0.93
"437414","Wilko Luxury Smokey Eye Duo Brush","Wilko","Face Brushes and Applicators",NA,"1","0.8 x 0.8 x 18.0",0.93
"437415","Wilko Luxury Eyebrow Brush","Wilko","Face Brushes and Applicators",NA,"1","0.3 x 0.8 18.0cm",0.93
"437420","Wilko Natural Cosmetic Purse","Wilko","Cosmetic and Toiletry Bags",NA,"1","17 x 8.5 x 11cm",0.93
"437421","Wilko Natural Fold Over Toiletry Bag","Wilko","Cosmetic and Toiletry Bags",NA,"1","19 x 26.5cm",0.93
"437422","Wilko Naturals Toiletry Bag Large","Wilko","Cosmetic and Toiletry Bags",NA,"1","26.5 x 5.5 x 18cm",0.93
"455101","Wilko Cosmetic Brush Roll","Wilko","Face Brushes and Applicators",NA,"1","16cm x 28cm",0.93
"455102","Wilko Oval Cosmetic Bag","Wilko","Cosmetic and Toiletry Bags",NA,"1","20cm x 10cm x 15cm",0.93
"455103","Wilko Cylinder Cosmetic Bag","Wilko","Cosmetic and Toiletry Bags",NA,"1","20cm x 8cm x 8cm",0.93
"455104","Wilko Rucksack Cosmetic Bag","Wilko","Cosmetic and Toiletry Bags",NA,"1","16cm x 7cm x 20cm",0.93
"455107","Wilko Cosmetic Storage Brush Holder","Wilko","Cosmetic Storage",NA,"1",NA,0.86
"455108","Wilko Perspex Cosmetic Storage Box","Wilko","Cosmetic Storage",NA,"1",NA,0.86
"455109","Wilko Eyeliner Brush Trend","Wilko","Eye Care and Brushes",NA,"1","17cm x 0.8 cm x 0.8 cm",0.93
"455110","Wilko Eye Make Up Brush Trend","Wilko","Eye Care and Brushes",NA,"1","17cm x 1 cm x 0.8 cm",0.93
"455111","Wilko Eyebrow Comb Trend","Wilko","Eye Care and Brushes",NA,"1","17cm x 2.8 cm x 0.8 cm",0.93
"455112","Wilko Retractable Brush Trended","Wilko","Face Brushes and Applicators",NA,"1","10.2cm x 3 cm x 3 cm",0.93
"455113","Wilko Blusher Brush Trended","Wilko","Face Brushes and Applicators",NA,"1","18cm x 4 cm x 4 cm",0.93
"455114","Wilko Foundation Brush Trend","Wilko","Face Brushes and Applicators",NA,"1","17cm x 2.5 cm x 1.2 cm",0.93
"455115","Wilko Small Cushion Brush Trend","Wilko","Combs and Brushes",NA,"1","17cm x 5.5 cm x 3.5 cm",0.93
"455116","Wilko Styling Comb Trend","Wilko","Combs and Brushes",NA,"1","26cm x 8 cm x 0.5 cm",0.93
"455117","Wilko Folding Hairbrush Mirror Trend","Wilko","Combs and Brushes",NA,"1","22.5cm x 7.5 cm x 1.5 cm",0.93
"455119","Wilko Compact Mirror Round Trend","Wilko","Compact Mirror",NA,"1","6cm x 6.2 cm x 0.8 cm",0.93
"455120","Wilko Trend Nail File","Wilko","Nail File",NA,"1","17.8cm x 2 cm x 0.35 cm",0.93
"455228","Wilko Premium Powder Brush","Wilko","Face Brushes and Applicators",NA,"1",NA,0.86
"455229","Wilko Premium Stippling Brush","Wilko","Face Brushes and Applicators",NA,"1",NA,0.86
