"Article","Web Description","Brand","DQ Score"
"450712","Maybelline Color Sensational Creamy MatteLipstick 981 Rebel Nude","Maybelline",1
"450714","Maybelline Color Sensational Creamy MatteLipstick 987 Smoky Rose","Maybelline",1
"450720","Maybelline SuperStay 24hr Super Impact Dual EndedLipstick 553 Steady Red-y","Maybelline",1
"450721","Maybelline Color Sensational Shaping Lip Liner 10Nude Whisper","Maybelline",1
"450722","Maybelline Color Sensational Shaping Lip Liner 50Dusty Rose","Maybelline",1
"450723","Maybelline Color Sensational Shaping Lip Liner 60Palest Pink","Maybelline",1
"450724","Maybelline Color Sensational Shaping Lip Liner 90Brick Red","Maybelline",1
"450725","Maybelline Color Sensational Shaping Lip Liner110 Rich Wine","Maybelline",1
"450726","Maybelline Color Sensational Shaping Lip Liner120 Clear","Maybelline",1
"450729","Maybelline Baby Lips Color Crayon 5 Candy Red","Maybelline",1
"450730","Maybelline Baby Lips Color Crayon 10 SugaryOrange","Maybelline",1
"450731","Maybelline Baby Lips Color Crayon 15 StrawberryPop","Maybelline",1
"450732","Maybelline Baby Lips Color Crayon 20 Pink Crush","Maybelline",1
"450733","Maybelline Baby Lips Color Crayon 25 PlayfulPurple","Maybelline",1
"450734","Maybelline Baby Lips Color Crayon 30 CreamyCaramel","Maybelline",1
"450735","Maybelline SuperStay 7 Days Super Impact NailPolish 886 24/7 Fuchsia","Maybelline",1
"450736","Maybelline SuperStay 7 Days Super Impact NailPolish 887 All Day Plum","Maybelline",1
"450737","Maybelline SuperStay 7 Days Super Impact NailPolish 885 Pink Goes On","Maybelline",1
"450738","Maybelline SuperStay 7 Days Super Impact NailPolish 884 Non-Stop Orange","Maybelline",1
"450739","Maybelline Color Sensational Creamy MatteLipstick 988 Brown Sugar","Maybelline",1
"452889","Maybelline Baby Lips SPF20 Lip Protection BalmMint Fresh","Maybelline",1
"456497","Maybelline Baby Lips Peach Kiss","Maybelline",1
"456498","Maybelline Volum' Express Lash SensationalMascara Richest Black","Maybelline",1
"456502","Maybelline Fit Me Matte Poreless Porcelain 110","Maybelline",1
"453469","Rimmel Volume Shake Mascara","Rimmel",1
"453476","Rimmel Brow Shake Filling Powder Dark Brown","Rimmel",1
"453477","Rimmel Brow Shake Filling Powder Medium Brown","Rimmel",1
