"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"200639","Beechams All in One 160ml","Beechams","Cold and Flu Medicines","1","160ml",1
"447282","Bells Children's Vapour Rub 50g","Bells","Blocked Nose","1","50g",1
"352137","Benylin Adult Tickly Cough Non Drowsy 150ml","Benylin","Cough Medicines","12","150ml",1
"271118","Breathe Right Strips Small Medium","Breathe Right","Blocked Nose","10pk","Small/Medium",1
"406740","Buttercup Bronchostop Syrup 120ml","Buttercup","Cough Medicines","1","120ml",1
"210419","Covonia Expectorant Mentholated Cough Syrup 150ml","Covonia","Cough Medicines","1","150ml",1
"261511","Covonia Dry and Tickly Cough 150ml","Covonia","Cough Medicines","1","150ml",1
"32679","Fishermans Friend Original Menthol & EucalyptusFlavour Lozenges 25g","Fishermans Friend","Sore Throat","1","25g",1
"117039","Halls Soothers Blackcurrant 45g","Halls","Blocked Nose","1","45g",1
"58239","Halls Mentholyptus Extra Strong 33.5g","Halls","Blocked Nose","9pk","33.5g",1
"239583","Jakemans Honey and Lemon Menthol 100g","Jakemans","Sore Throat","1","100g",1
"407594","Jakemans Peppermint Menthol 100g","Jakemans","Sore Throat","1","100g",1
"342567","Nurofen for Children Cold and Flu 100ml","Nurofen","Cold and Flu Medicines","1","100ml",1
"181806","Olbas Inhaler Nasal Stick","Olbas","Blocked Nose","1","695mg",1
"195968","Otrivine Adult Nasal Spray 10ml","Otrivine","Blocked Nose","1","10ml",1
"406781","Otrivine Congestion Relief 10ml","Otrivine","Blocked Nose","1","10ml",1
"202599","Wilko Decongestant Nasal Spray 15ml","Wilko","Blocked Nose","1","15ml",1
"407017","Wilko Childrens Saline Nasal Spray 15ml","Wilko","Blocked Nose","1","15ml",1
