"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"209883","Beechams Cold and Flu Hot Lemon and Honey Powders5pk","Beechams","Cold and Flu Medicines","5pk",NA,0.9125
"223579","Beechams Cold and Flu Blackcurrant Powder 5pk","Beechams","Cold and Flu Medicines","5pk",NA,0.9125
"423950","Beechams Max Strength All In One 8pk","Beechams","Cold and Flu Medicines","1",NA,0.9125
"423951","Beechams Flu Plus 8pk","Beechams","Cold and Flu Medicines","1",NA,0.9125
"423953","Beechams Max Strength Blackberry 10pk","Beechams","Sore Throat","1",NA,0.9125
"423954","Beechams Max Strength Honey and Lemon 10pk","Beechams","Sore Throat","1",NA,0.9125
"99192","Beechams Powders 10 Sachets","Beechams","Cold and Flu Medicines","10pk",NA,0.9125
"248648","Benylin Cold and Flu Max Strength Capsules 16pk","Benylin","Cold and Flu Medicines","16pk",NA,0.9125
"284487","Benylin Mucas Cough 150ml","Benylin","Cough Medicines","1",NA,0.9125
"330072","Benylin Chesty Cough 150ml","Benylin","Cough Medicines",NA,"150ml",0.9125
"406693","Bronchostop Pastilles 10pk","Bronchostop","Cough Medicines","10pk",NA,0.9125
"406727","Bronchostop Pastilles 20pk","Bronchostop","Cough Medicines","20pk",NA,0.9125
"296897","Buttercup Cough Sweets 32g","Buttercup","Cough Medicines",NA,"32g",0.9125
"296900","Buttercup Cough Syrup 150ml","Buttercup","Cough Medicines","1",NA,0.9125
"252576","Covonia Catarrh Relief 100ml","Covonia","Cough Medicines",NA,"100ml",0.9125
"296894","Covonia Lozenges Original 30g","Covonia","Cough Medicines","1",NA,0.9125
"445627","Covonia Chesty Cough Syrup Sugar and Alcohol Free150ml","Covonia","Cold and Flu Medicines",NA,NA,0.825
"445628","Covonia Sugar Free Lozenges 30g","Covonia","Sore Throat",NA,NA,0.825
"32677","Fishermans Friend Aniseed Flavour Lozenges 25g","Fishermans Friend","Sore Throat",NA,"25g",0.9125
"413416","Fishermans Friend Honey and Lemon 25g","Fishermans Friend","Lozenges",NA,"25g",0.9125
"281067","Halls Mentholyptus Cherry Sugar Free 32g","Halls","Blocked Nose","9pk",NA,0.9125
"239582","Jakemans Throat and Chest Sweets 100g","Jakemans","Sore Throat",NA,"100g",0.9125
"169600","Lemsip Max Cold and Flu Lemon 10pk","Lemsip","Cold and Flu Medicines","10pk",NA,0.9125
"280371","Lemsip Max Cold and Flu Capsules 16pk","Lemsip","Cold and Flu Medicines","16pk",NA,0.9125
"284642","Lemsip All in One Capsules 8pk","Lemsip","Cold and Flu Medicines","8pk",NA,0.9125
"296555","Lemsip Max Blackcurrant Sachets 10pk","Lemsip","Cold and Flu Medicines","10pk",NA,0.9125
"296556","Lemsip Max All in 1 Cold and Flu Capsules 16pk","Lemsip","Cold and Flu Medicines","16pk",NA,0.9125
"330044","Lemsip Cough Mucus Sachets 10pk","Lemsip","Cold and Flu Medicines","10pk",NA,0.9125
"330047","Lemsip Cough Mucus Cough Capsules 16pk","Lemsip","Cough Medicines","16pk",NA,0.9125
"33658","Lemsip Cold and Flu Lemon 10pk","Lemsip","Cold and Flu Medicines","10pk",NA,0.9125
"351392","Lemsip Max Day and Night Capsules 16pk","Lemsip","Cold and Flu Medicines","16",NA,0.9125
"409277","Lemsip Cough Chesty Drink Sachets 10pk","Lemsip","Cough Medicines","10",NA,0.9125
"423969","Lemsip Max All In One Lemon 4 Sachets","Lemsip","Cold and Flu Medicines","1",NA,0.9125
"423970","Lemsip Max All In One Lemon 8 Sachets","Lemsip","Cold and Flu Medicines","1",NA,0.9125
"444889","Lemsip Chesty Cough Liquid 180ml","Lemsip","Cough Medicines",NA,NA,0.825
"444890","Lemsip Dry Cough Liquid 180ml","Lemsip","Cold and Flu Medicines",NA,NA,0.825
"343669","Lockets Extra Strong","Lockets","Sore Throat","1",NA,0.9125
"342565","Nurofen Cold and Flu Relief Tablets 16pk","Nurofen","Cold and Flu Medicines","16pk",NA,0.9125
"423967","Nurofen Sinus Pain Relief Tablets 16pk","Nurofen","Blocked Nose","1",NA,0.9125
"423968","Nurofen Blocked Nose and Sinus Relief Tablets16pk","Nurofen","Blocked Nose","1",NA,0.9125
"33559","Olbas Oil Inhalant Decongestant 10ml","Olbas","Blocked Nose",NA,"10ml",0.9125
"343782","Peach Vapour Rub 50g","Peach Ethical","Blocked Nose","1",NA,0.8625
"406789","Potters Chesty Cough Pastilles 20pk","Potters","Cough Medicines","20",NA,0.9125
"260427","Strepsils Honey and Lemon Lozenges 16pk","Strepsils","Sore Throat","16pk",NA,0.9125
"296553","Strepsils Honey and Lemon Lozenges 36pk","Strepsils","Sore Throat","36pk",NA,0.9125
"297412","Strepsils Original Lozenges 16pk","Strepsils","Sore Throat","16pk",NA,0.9125
"423972","Strepsils Extra Triple Action Blackcurrant 24pk","Strepsils","Sore Throat","1",NA,0.9125
"296681","Sudafed Blocked Nose Spray 15ml","Sudafed","Blocked Nose","1",NA,0.9125
"296684","Sudafed Blocked Nose 12pk","Sudafed","Blocked Nose","12pk",NA,0.9125
"296686","Sudafed Blocked Nose and Sinus Tabs 16pk","Sudafed","Blocked Nose","16pk",NA,0.9125
"304193","Sudafed Mucus Relief Tablets 16pk","Sudafed","Blocked Nose","16pk",NA,0.9125
"32757","Throaties Strong Original 10pk","Throaties","Sore Throat","10pk",NA,0.9125
"209880","Tixylix Chesty Dry Toddler Cough Syrup 100ml","Tixylix","Cough Medicines",NA,"100ml",0.9125
"223437","Vicks Sinex Micromist Nasal Spray 15ml","Vicks","Blocked Nose",NA,"15ml",0.9125
"238925","Vicks First Defence Micro-Gel Nasal Spray 15ml","Vicks","Blocked Nose",NA,"15ml",0.9125
"33552","Vicks Inhaler Nasal Stick 0.5ml","Vicks","Blocked Nose","1",NA,0.9125
"33554","Vicks Sinex Decongestant Nasal Spray 20ml","Vicks","Blocked Nose",NA,"20ml",0.9125
"432495","Vicks Vapoease Patch 5pk","Vicks","Vapour Patches","5",NA,0.9125
"70377","Vicks VapoRub 50g","Vicks","Blocked Nose",NA,"50g",0.9125
"32668","Victory V Lozenges 36g","Victory","Sore Throat","15pk",NA,0.9125
"193368","Wilko Max Strength Cold and Flu Capsules 16pk","Wilko","Cold and Flu Medicines","16pk",NA,0.9125
"235943","Wilko Max Strength Cold and Flu Relief Sachets10pk","Wilko","Cold and Flu Medicines","10pk",NA,0.9125
"245113","Wilko Sinus Relief Max Strength 16pk","Wilko","Blocked Nose","16pk",NA,0.9125
"249131","Wilko Cold and Flu Day and Night 16pk","Wilko","Cold and Flu Medicines","16pk",NA,0.9125
"290985","Wilko Flu Max All In One Chesty Cough 10 Sachets","Wilko","Cold and Flu Medicines","1",NA,0.9125
"290986","Wilko Flu Max All In One Chesty 16pk","Wilko","Cold and Flu Medicines","16pk",NA,0.9125
"308582","Wilko Mucus Cough 200ml","Wilko","Cough Medicines","1",NA,0.9125
"33673","Wilko Chesty Cough 200ml","Wilko","Cough Medicines",NA,"200ml",0.9125
"348280","Wilko Throat Lozenges 24pk","Wilko","Sore Throat","24pk",NA,0.9125
"348514","Wilko Nasal Strips 10pk","Wilko","Blocked Nose","1",NA,0.9125
"62851","Wilko Dry Tickly Cough 200ml","Wilko","Cough Medicines",NA,"200ml",0.9125
