"Article","Web Description","Brand","Type","Colour","Pack Qty","Washable","Size","Material","DQ Score"
"454616","Glitterati Sequin Cushion Silver 30 x 30cm","Arthouse","Sequin Cushions",NA,"1",NA,"30 x 30cm",NA,0.8
"454617","Glitterati Sequin Cushion Gold 45 x 45cm","Arthouse","Sequin Cushions",NA,"1",NA,"45 x 45cm",NA,0.8
"454618","Glitterati Sequin Cushion Midnight Blue 45 x 45cm","Arthouse","Sequin Cushions",NA,"1",NA,"45 x 45cm",NA,0.8
"454620","Glitterati Sequin Cushion Black 43 x 43cm","Arthouse","Sequin Cushions",NA,"1",NA,"43 x 43cm",NA,0.8
"454621","Glitterati Sequin Cushion Fuschia 43 x 43cm","Arthouse","Sequin Cushions",NA,"1",NA,"43 x 43cm",NA,0.8
"454623","Glitterati Sequin Cushion Red 43 x 43cm","Arthouse","Sequin Cushions",NA,"1",NA,"43 x 43cm",NA,0.8
"217482","Wilko Polystyrene Bean Bag Top Up 43cm","Wilko","Bean Bag Top Up","White",NA,NA,"43cm","100% Polystyrene",0.9
"311487","Wilko Jumbo Cushion Cream 55 x 55cm","Wilko","Cushions","Cream",NA,"Washable","55x55cm","90% Polyester, 10% Polyamide",0.95
"341170","Wilko Cushion Chenille Mink 43 x 43cm","Wilko","Plain Cushion","Cream",NA,NA,"43x43cm",NA,0.85
"408004","Wilko Embellished Leaf Cushion Covers Red Pair43 x 43cm","Wilko","Cushion Covers","Red","2pk",NA,NA,NA,0.85
"408005","Wilko Embossed Leaf Cushion Covers Teal Pair43 x 43cm","Wilko","Cushion Covers",NA,"2pk",NA,NA,NA,0.8
"408006","Wilko Embossed Leaf Cushion Covers Mink Pair43 x 43cm","Wilko","Cushion Covers",NA,"2pk",NA,NA,NA,0.8
"408007","Wilko Embellished Leaf Cushion Covers Green Pair43 x 43cm","Wilko","Cushion Covers",NA,"2pk",NA,NA,NA,0.8
"414854","Wilko Chenille Cushion Black 43 x 43cm","Wilko","Faux Silk Cushion",NA,"1",NA,"43x43cm",NA,0.85
"426737","Wilko Plum Sequin Cushion 35 x 35cm","Wilko","Cushions",NA,NA,NA,NA,NA,0.75
"426739","Wilko Heart Shaped Rose Cushion Lilac","Wilko","Cushions",NA,NA,NA,NA,NA,0.75
"426762","Wilko Knitted Cushion Duck Egg 43 x 43cm","Wilko","Cushions","Blue","1",NA,"43 x 43cm",NA,0.9
"426767","Wilko Knitted Cushion Plum 43 x 43cm","Wilko","Cushions","Purple","1",NA,"43 x 43cm",NA,0.9
