"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","DQ Score"
"313809","Dog Life Dog Toy Teething Dumbell Rubber","Dog Life","Puppy Toys",NA,"1",NA,0.86
"313735","Good Boy Doggy Dolittles Duck","Good Boy","Character Toys",NA,"1",NA,0.86
"313751","Good Boy Lob It! Space Lobber Giant","Good Boy","Throw and Fetch Toys",NA,NA,"Giant",0.86
"313766","Armitage Pet Care Floppy Moppy","Good Boy","Character Toys",NA,NA,"19.4x9.2cm",0.81
"454280","Little Rascals Sock Monkey Puppy Toy","Happy Pet","Character Toys",NA,"1","31 x 13 x 7cm",0.88
"454281","Little Rascals Teething Bone Keys","Happy Pet","Character Toys",NA,"1","15x5x3cm",0.88
"454282","Nuts for Knots King Size Dog Rope Tugger","Happy Pet","Rope and Tug Toys",NA,"1","130x14x14cm",0.88
"454283","Happy Pet Vinyl Doughnuts Dog Toy","Happy Pet","Sweet Shop Toys",NA,"1","14cm",0.93
"454284","Happy Pet Gum Gum Figure of 8 Dog Toy","Happy Pet","Dental and Chew Toys",NA,"1","32x11x6cm",0.93
"454285","Happy Pet Egg Noggins Dog Toy","Happy Pet","Character Toys",NA,"1","13x10x8cm",0.93
"303588","Talking Babble Ball Medium","James & Steel","Balls",NA,"1","Medium",0.88
"313697","Dog Toy Plush Pheasant","James & Steel","Character Toys",NA,"1","31 x 13 x 12cm",0.88
"314102","Vinyl Linyl Lost Sole Dog Toy Slipper","Lost Sole","Character Toys",NA,"1",NA,0.86
"350230","Dog Toy Plush No Stuffing","Raggy","Character Toys",NA,"1",NA,0.81
"314107","Cyber-Dog Treat Ball Dog Toy Small","Rosewood","Dental and Chew Toys",NA,"1","Small",0.88
"334147","Cyber-Dog Galactic Orbit Dog Toy","Rosewood","Dental and Chew Toys",NA,"1","12.5x12.5cm",0.88
"454030","Rosewood Meaty Takeaway Pet Toy Chicken Flavour","Rosewood","Dental and Chew Toys",NA,"1","Small",0.93
"454033","Tough Wood Bone","Rosewood","Dental and Chew Toys",NA,"1","8cmx6.9cmx19cm",0.88
"454035","Squeaky Tough Rubber Assortment","Rosewood","Dental and Chew Toys",NA,"1","9.3cmx18.5cmx5.3cm",0.88
"420087","TUFFS Birdy Tug Tails Dog Toy 38cm","Tuff","Character Toys",NA,"1","38cm",0.93
"420092","TUFFS Flyer Disc Dog Toy 23cm","Tuff","Throw and Fetch Toys",NA,"1","23cm",0.93
"255754","Wilko Interact Knotted Dog Toy Assorted","Wilko","Rope and Tug Toys",NA,NA,NA,0.79
"291750","The Grunters Oinking Pig Latex","Wilko","Character Toys",NA,"1","Large",0.88
"303615","Wilko Interact Fling Dog Toy Assorted","Wilko","Throw and Fetch Toys",NA,"1",NA,0.86
"350299","Wilko Dog Plush Bobble Animals","Wilko","Character Toys",NA,"1","31 x 21 x 14cm",0.93
"412376","Wilko Raggy Animal Dog Toy","Wilko","Character Toys",NA,"1",NA,0.86
"439384","Wilko Plush Turtle Dog Toy","Wilko","Character Toys",NA,"1","33 x 17 x 9cm",0.93
"439387","Wilko Natural Bear Dog Toy","Wilko","Character Toys",NA,"1","42 x 13 x 11cm",0.93
"453204","Wilko Rubber Dog Toy","Wilko","Throw and Fetch Toys",NA,"1","33.5cm x 10.2cm x 1.2cm",0.93
"453413","Wilko Furry Face Ball Dog Toy","Wilko","Character Toys",NA,"1","10cm x 11cm x 11cm",0.93
"453414","Wilko 5 Ring Chain Dog Toy","Wilko","Rope and Tug Toys",NA,"1","2cm x 15cm x 58cm",0.93
"453923","Wilko Chewy Character Dog Toy","Wilko","Character Toys",NA,"1","15cm x 5.5cm x 5.5cm",0.93
"453924","Wilko Spikey Hedgehog Dog Toy","Wilko","Character Toys",NA,"1","19cm x 12cm x 12cm",0.93
"454018","Wilko Wild Animal Dog Toy","Wilko","Character Toys",NA,"1","1 Toy",0.93
"454019","Wilko Tough Bone Dog Toy","Wilko","Throw and Fetch Toys",NA,"1","1 Toy",0.93
"454193","Wilko Floating Rubber Ball 3pk","Wilko","Balls",NA,"3","6.5cm",0.93
"454194","Wilko Squeaky Tennis Balls","Wilko","Balls",NA,"2","7cm",0.93
"454195","Wilko Catch and Flash Ball","Wilko","Balls",NA,"1","7.7cm",0.93
"454198","Wilko Mini Tennis Balls 5pk","Wilko","Balls",NA,"5","5pk",0.93
"454199","Wilko Dog Toy Ice Creams Assorted","Wilko","Sweet Shop Toys",NA,"1","12cmx6.5cmx6.5cm",0.93
"454200","Wilko Snuggle Lion / Elephant","Wilko","Character Toys",NA,"1","24cmx20cmx15cm",0.93
"454202","Wilko Rabbit Ball With Squeaker","Wilko","Character Toys",NA,"1","26cmx10cmx10cm",0.93
"454807","Wilko Plush Snake Dog Toy","Wilko","Character Toys",NA,"1","92 x 12 x 10cm",0.93
"455419","Wilko Squeaky Toy Assorted","Wilko","Throw and Fetch Toys",NA,"1","Squeaky TPR 16cm x 6cm x 6cm",0.93
"455420","Wilko Thread Toy Assorted","Wilko","Rope and Tug Toys",NA,"1","Threads Rope 55cm x 4cm x 4cm",0.93
"80522","Wilko Dog Toy Rubber Rope Ball","Wilko","Throw and Fetch Toys",NA,"1","Large",0.93
