"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","DQ Score"
"438785","Kenovo DuraTrax J Hook Mini","DuraTrax","Hooks","Silver","1","J Hook Mini 1pk 5.2 x 5.3cm",1
"438789","Kenovo DuraTrax L Hook","DuraTrax","Hooks","Silver","1","L hook 1pk 9 x 6.2cm",1
"438795","Kenovo DuraTrax Ladder Hook","DuraTrax","Hooks","Black","1","Ladder Hook 32 x 7cm",1
"438796","Kenovo DuraTrax Horizontal Bike Hook","DuraTrax","Hooks","Black","1pk","Horizontal Bike Hook 1pk 30 x 3.5cm",1
"438797","Kenovo DuraTrax Hose Hook","DuraTrax","Hooks","Black","1","Hose Hook 22 x 14cm",1
"438798","Kenovo DuraTrax Triple S Hook","DuraTrax","Hooks","Black","1","Triple S Hook 11 x 44.5cm",1
"438799","Kenovo DuraTrax Single S Hook","DuraTrax","Hooks","Black","1","Single S Hook 11 x 7cm",1
"438800","Kenovo DuraTrax Satin Hook","DuraTrax","Hooks","Silver","1","Satin Hook 7.5 x 1.6cm",1
"438801","Kenovo DuraTrax Single Straight Hook","DuraTrax","Hooks","Black","1","Single Straight Hook 15 x 3.5cm",1
"438802","Kenovo DuraTrax Single J Hook","DuraTrax","Hooks","Black","1","Single J Hook 9 x 3.5cm",1
"456406","Wilko Hardwall Hooks 30mm 6pk","Wilko","Adhesive Hooks","Cream","6","30mm",1
"456407","Wilko Hardwall Hooks 40mm 4pk","Wilko","Adhesive Hooks","Cream","4","40mm",1
