"Article","Web Description","Brand","DQ Score"
"243694","Go-Cat Adult Dry Cat Food Tuna Herring andVegetables 825g","Go Cat",0.95
"243695","Go-Cat Adult Dry Cat Food Chicken and Duck 825g","Go Cat",0.9
"284809","Go-Cat Dry Cat Food Turkey and Vegetables 825g","Go Cat",0.95
"314536","Go-Cat Dry Cat Food Chicken and Garden Greens forIndoor Cats 950g","Go Cat",0.95
"336109","Go-Cat Dry Cat Food Crunchy and Tender Tuna 375g","Go Cat",0.8625
"336110","Go-Cat Dry Cat Food Crunchy and Tender Beef andChicken 375g","Go Cat",0.95
"401013","Go-Cat Dry Cat Food Crunchy and Tender Chickenand Turkey 375g","Go Cat",0.8625
"411019","Go-Cat Dry Cat Food Crunchy and Tender Beef andChicken 800g","Go Cat",0.95
"412186","Go-Cat Dry Kitten Food Crunchy and Tender 800g","Go Cat",0.95
"412942","Go-Cat Dry Cat Food Duck and Chicken 2kg","Go Cat",0.95
"412943","Go-Cat Dry Cat Food Crunchy and Tender SalmonTuna and Vegetables 800g","Go Cat",0.95
