"Article","Web Description","DQ Score"
"449376","Dulux Easycare Matt Emulsion Paint Denim Drift2.5L",1
"449380","Dulux Easycare Matt Emulsion Paint Natural Hessian2.5L",1
"449381","Dulux Easycare Matt Emulsion Paint Natural Calico2.5L",1
"449382","Dulux Easycare Matt Emulsion Paint Pure BrilliantWhite 2.5L",1
"449383","Dulux Easycare Matt Emulsion Paint Polished Pebble2.5L",1
"449384","Dulux Easycare Matt Emulsion Tester Pot PolishedPebble 50ml",1
"449385","Dulux Easycare Matt Emulsion Tester Pot Timeless50ml",1
"449386","Dulux Easycare Matt Emulsion Tester Pot Blush Pink50ml",1
"449387","Dulux Easycare Matt Emulsion Tester Pot ChicShadow 50ml",1
"449388","Dulux Easycare Matt Emulsion Tester Pot DenimDrift 50ml",1
"449389","Dulux Easycare Matt Emulsion Tester Pot EgyptianCotton 50ml",1
"449390","Dulux Easycare Matt Emulsion Tester Pot Mineral MMist 50ml",1
"449391","Dulux Easycare Matt Emulsion Tester Pot Magnolia50ml",1
"449392","Dulux Easycare Matt Emulsion Tester Pot NaturalHessian 50ml",1
"449393","Dulux Easycare Tester Natural Calico 50ml",1
