"Article","Web Description","Brand","Type","Colour","Pack Qty","Washable","Size","Material","DQ Score"
"423120","Silentnight Essential Single Duvet 10.5 Tog","Silentnight","10.5 Tog Duvet",NA,"1","Wash at 40 Synth","Duvet - 135cm x 200cm","duvet is polyester microfibre",0.95
"423121","Silentnight Essential Double Duvet 10.5 Tog","Silentnight","10.5 Tog Duvet",NA,"1",NA,"Duvet - 200cm x 200cm","duvet is polyester microfibre",0.9
"423122","Silentnight Essential King Size Duvet 10.5 Tog","Silentnight","10.5 Tog Duvet",NA,"1",NA,"Duvet - 225cm x 220cm","duvet is polyester microfibre",0.9
"451199","Silentnight Deep Sleep Duvet Single 10.5Tog","Silentnight","10.5 Tog Duvet",NA,"1","Wash at 40 Synth","200 x 135cm","Polyester Cotton",0.95
"451200","Silentnight Deep Sleep Duvet Double 10.5Tog","Silentnight","10.5 Tog Duvet",NA,"1","Wash at 40 Synth","200 x 200cm","Polyester Cotton",0.95
"451201","Silentnight Deep Sleep Duvet King 10.5 Tog","Silentnight","10.5 Tog Duvet",NA,"1","Wash at 40 Synth","220 x 225cm","Polyester Cotton",0.95
"350958","Wilko Polycotton Single Duvet 4.5 Tog","Wilko","4.5 Tog Duvet",NA,"1",NA,NA,NA,0.8
"350960","Wilko Polycotton Double Duvet 4.5 Tog","Wilko","4.5 Tog Duvet",NA,"1",NA,NA,NA,0.8
"350961","Wilko Polycotton King Size Duvet 4.5 Tog","Wilko","4.5 Tog Duvet",NA,"1",NA,NA,NA,0.8
"427648","Wilko Best Single Duvet 10.5 Tog","Wilko","10.5 Tog Duvet",NA,NA,NA,NA,NA,0.75
"427649","Wilko Best Double Duvet 10.5 Tog","Wilko","10.5 Tog Duvet",NA,NA,NA,NA,NA,0.75
"427650","Wilko Best King Size Duvet 10.5 Tog","Wilko","10.5 Tog Duvet",NA,NA,NA,NA,NA,0.75
"428741","Wilko Best Duvet Superking 10.5 Tog","Wilko","10.5 Tog Duvet",NA,NA,NA,NA,NA,0.75
