"Article","Web Description","Brand","DQ Score"
"437058","Hertiage Cotton Mop","Charles Bentley",0.95
"437059","Heritage Housekeepers Box","Charles Bentley",0.95
"437060","Heritage Metal Mop Bucket","Charles Bentley",0.95
"437061","Heritage Hand Shovel","Charles Bentley",0.95
"437062","Heritage Handled Feather Duster","Charles Bentley",0.95
"437063","Heritage Handled Dustpan Set","Charles Bentley",0.95
"437064","Heritage Dustpan and Brush Set","Charles Bentley",0.95
"437065","Heritage Wooden Clothes Pegs","Charles Bentley",0.95
"437066","Heritage Peg Caddy","Charles Bentley",0.95
"437069","Heritage Long Handled Radiator Brush","Charles Bentley",0.95
"441963","Heritage Wooden Nail Brush","Charles Bentley",0.95
