"Article","Web Description","Brand","Type","Colour","Size","Assembly","Material","DQ Score"
"327544","Wilko Scented Tealights 30pk","Wilko","Tealights","Cream","30 Pack","No",NA,0.941666666666667
"327549","Wilko Scented Pillar Candle Sandalwood 6 x 9.5cm","Wilko","Pillar Candle","Cream","6x9.5cm","No",NA,0.941666666666667
"327556","Wilko Scented Pillar Candle 7 x 14.5cm","Wilko","Pillar Candle","Cream","7x14.5cm","No",NA,0.941666666666667
"327857","Wilko Reed Diffuser Lavender and Rose 100ml","Wilko","Reed Diffusers","Clear","100ml","No",NA,0.941666666666667
"327863","Wilko Pot Pourri Wild Lavender and Rose","Wilko","Pot Pourri","Purple","Pack","No",NA,0.941666666666667
"341082","Wilko Scented Pillar Candle Lavender 6 x 9.5cm","Wilko","Fragranced Candles","Purple","6x9.5cm","No",NA,0.941666666666667
"341168","Wilko Cushion Chenille Teal 43 x 43cm","Wilko","Plain Cushion","Green","43x43cm","No",NA,0.941666666666667
"406797","Wilko Country Classic Cube Calendar","Wilko","Calendar",NA,NA,"No",NA,0.825
"413618","Wilko Scented Glass Candle Lavender","Wilko","Fragranced Candles",NA,NA,"No",NA,0.825
"413620","Wilko Scented Glass Candle Tropical Passion Fruitand Blueberry","Wilko","Fragranced Candles",NA,NA,"No",NA,0.825
"414852","Wilko Chenille Cushion Duck Egg 43 x 43cm","Wilko","Faux Silk Cushion",NA,NA,"No",NA,0.825
"414856","Wilko Chenille Cushion Plum 43 x 43cm","Wilko","Faux Silk Cushion",NA,"43x43cm","No",NA,0.883333333333333
"418029","Wilko Lace Effect Glass Bowl Silver ReminisceRange","Wilko","Bowls",NA,"Bowl 27cm","No","Glass",0.941666666666667
"418030","Wilko Lace Effect Glass Bowl Lilac Reminisce Range","Wilko","Bowls",NA,"Bowl 27cm","No","Glass",0.941666666666667
"427056","Wilko Tealight Holder Purple","Wilko","Tealight Holders",NA,NA,"No",NA,0.825
"427103","Wilko Candle Jar Wild Lavender and Rose55 Hours Burn Time","Wilko","Fragranced Candles",NA,NA,"No",NA,0.825
"427105","Wilko Candle Jar Passion Fruit and Blueberry55 Hours Burn Time","Wilko","Fragranced Candles",NA,NA,"No",NA,0.825
"427109","Wilko Candle Square Glass Jar Pink Lavender & Rose30 Hours Burn Time","Wilko","Fragranced Candles",NA,NA,"No",NA,0.825
"427111","Wilko Candle Square Glass Jar Blue Passionfruit30 Hours Burn Time","Wilko","Fragranced Candles",NA,NA,"No",NA,0.825
"427116","Wilko Wooden Rose Heart Plum","Wilko","Wall Art",NA,NA,"No",NA,0.825
"427134","Wilko Pot Pourri Wild Lavender and Rose","Wilko","Pot Pourri",NA,NA,"No",NA,0.825
"427152","Wilko Love Multi Picture Frame","Wilko","Photo Frames",NA,NA,"No",NA,0.825
"427164","Wilko Amazing Things Heart Plaque","Wilko","Plaques",NA,NA,"No",NA,0.825
"446487","Wilko Jug Plum","Wilko","Jugs",NA,NA,"No",NA,0.825
"446494","Wilko Riviera Floral Bunting","Wilko","Bunting",NA,"300 x 15 x 8cm","No","Polyester",0.941666666666667
"446502","Wilko Jug Duck Egg","Wilko","Jugs",NA,NA,"No",NA,0.825
"446848","Wilko Glass Candle Jar With Lid","Wilko","Candles",NA,NA,"No",NA,0.825
"447220","Wilko Pink Rose String Lights","Wilko","Decorative Lighting","Pink","4 x 5 x 230cm","No",NA,0.941666666666667
"455342","Wilko Home Key Hook Plaque 25x25cm","Wilko","Key Hooks",NA,"25x25x0.9cm","No","MDF, Paper, metal key hooks, metal hanger",0.941666666666667
"455394","Wilko Home Canvas 48x48cm","Wilko","Wall Art",NA,"48x48x1.8cm","No","Polyester Canvas, MDF frame, metal hanger",0.941666666666667
"455452","Wilko Pink Peonies in Glass Jar","Wilko","Vase with Flower",NA,NA,"No","glass / plastic / synthetic textile",0.883333333333333
"455743","Wilko Velour Cushion Pink 50 x 50cm","Wilko","Cushions","Pink","50 x 50cm","No",NA,0.941666666666667
"455870","Wilko Ceramic Words Jug","Wilko","Ornaments",NA,"16 x 19.5 x 12cm","No","Ceramic",0.941666666666667
