"Article","Web Description","Brand","Type","DQ Score"
"445250","Wilko Enterprising Britain Notebook A5 100 Sheets80GSM","Wilko","Notebooks",1
"445252","Wilko Enterprising Britain Project Book A5","Wilko","Project Books",1
"445258","Wilko Enterprising Britain Mini Colouring Pencils10pk","Wilko","Colouring Pens, Pencils and Crayons",1
"445259","Wilko Enterprising Britain Notebook A6 80 Sheets80GSM","Wilko","Notebooks",1
"445262","Wilko Enterprising Britain Storage Box with Lid","Wilko","Storage Box",1
"445263","Wilko Enterprising Britain 2 Drawer Storage","Wilko","Desk Organising",1
"445265","Wilko Enterprising Britain Sticky Notes Set","Wilko","Sticky Notes",1
"445266","Wilko Enterprising Britain A6 Organiser","Wilko","Journals, Planners and Organisers",1
"445267","Wilko Enterprising Britain Accessories Set Containing Push Pins, Binder Clips and Paper Clips","Wilko","Punches and Fasteners",1
"445268","Wilko Enterprising Britain Binder Clip in Glass Jar 20pcs","Wilko","Binder Clip",1
"445269","Wilko Enterprising Britain Premium Journal Notebook B5 80 Sheets 80GSM","Wilko","Notebooks",1
"445275","Wilko Enterprising Britain Jotter Notebook","Wilko","Notebooks",1
"445276","Wilko Enterprising Britain Desk Planner Pad60 Sheets 80GSM","Wilko","Journals, Planners and Organisers",1
"445277","Wilko Enterprising Britain A4 Wiro80 Sheets 80GSM","Wilko","Notebooks",1
"445278","Wilko Enterprising Britain Document Case A4","Wilko","Document Folders and Wallets",1
"445526","Wilko Enterprising Britain A5 Chunky FabricNotebook","Wilko","Notebooks",1
"445527","Wilko Enterprising Britain Paper Clips in Glass Jar 150pcs","Wilko","Punches and Fasteners",1
"445528","Wilko Enterprising Britain Wooden Pegs in Glass Jar 20pcs","Wilko","Pegs",1
