"Article","Web Description","Brand","DQ Score"
"300391","Post Office PostPak Bubble Envelope Size 5 345 x 260mm","Royal Mail",0.88
"300392","Post Office PostPak Mailing Box Small Parcel","Royal Mail",0.95
"300393","Post Office PostPak Envelope Size 1 245 x 170mm","Royal Mail",0.95
"300394","Post Office PostPak Book Box Large","Royal Mail",0.88
"431753","Post Office PostPak Bubble Envelopes Size 0 3pk 195 x 140mm","Royal Mail",0.83
"431754","Post Office PostPak Bubble Envelopes Size 1 3pk 245 x 170mm","Royal Mail",0.76
"431756","Post Office PostPak Bubble Envelopes Size 5 3pk 345 x 260mm","Royal Mail",0.76
"431758","Post Office Polythene Envelopes 5pk Assorted Sizes","Royal Mail",0.76
"261527","Wilko Peel & Seal Envelopes Manilla 50pk89 x 152mm","Wilko Functional",0.95
"261528","Wilko Gummed Envelopes White 50pk110 x 220mm","Wilko Functional",0.95
