"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","DQ Score"
"431759","Avery Printable Mailing Labels Assorted Sizes","Avery","Mail Labels",NA,"10",NA,0.86
"431763","Avery Printable Clear Labels 36pk 95 x 41mm","Avery","Address Labels",NA,"36",NA,0.86
"431761","Dymo Digital Postal Scales 2kg","Dymo","Digital Scales",NA,"1",NA,0.86
"300391","Post Office PostPak Bubble Envelope Size 5 345 x 260mm","Royal Mail","Bubble Envelopes","Red",NA,"Size 5",0.88
"300394","Post Office PostPak Book Box Large","Royal Mail","Posting Boxes","Red",NA,"Small",0.88
"431753","Post Office PostPak Bubble Envelopes Size 0 3pk 195 x 140mm","Royal Mail","Jiffy bags",NA,"3","1013559",0.83
"431754","Post Office PostPak Bubble Envelopes Size 1 3pk 245 x 170mm","Royal Mail","Jiffy bags",NA,"3",NA,0.76
"431756","Post Office PostPak Bubble Envelopes Size 5 3pk 345 x 260mm","Royal Mail","Jiffy bags",NA,"3",NA,0.76
"431758","Post Office Polythene Envelopes 5pk Assorted Sizes","Royal Mail","Envelopes",NA,"5",NA,0.76
"438298","StorePak Bubble Wrap Roll 25m","StorePAK","Bubble wrap",NA,"1","0.5m Wide x 25m long",0.93
"238457","Wilko Kraft Wrapping Paper 6m x 500mm","Wilko","Packaging","Brown",NA,"500mmx6m",0.93
"261551","Wilko Invisible Tape 19mm x 20m","Wilko","Adhesive Tape and dispensers",NA,NA,"19mmx20m",0.86
"78673","Wilko Bubble Wrap Roll 30cm x 5m","Wilko","Packaging",NA,NA,"5mx30cm",0.86
