"Article","Web Description","Brand","Type","Colour","Size","Model Number","DQ Score"
"133997","Wilko 4 Way Extension Lead 5m","Wilko","Extension Leads",NA,"5m",NA,0.86
"142473","Wilko 24hr Timer Switch","Wilko","Timers",NA,NA,NA,0.79
"144868","Wilko 13 Amp Extension Lead 2m 4 Way","Wilko","Extension Leads",NA,"2m",NA,0.86
"155321","Wilko Electronic Timeswitch Compact 24h/7day","Wilko","Timers",NA,NA,NA,0.79
"155626","Wilko 6 Way 13 Amp Extension Lead Surge Protected2m","Wilko","Extension Leads",NA,"6 Way",NA,0.86
"181741","Wilko Extension Lead 2m 4 Gang","Wilko","Extension Leads",NA,"2m","4 Gang",0.93
"187196","Wilko 6 Way Extension Lead Individually Switched2m","Wilko","Extension Leads",NA,"2m","6 Gang",0.93
"204276","Wilko Christmas Light Extension Lead with Green Cable 20m","Wilko","Extension Leads",NA,"20m",NA,0.86
"21777","Wilko 4 Way Extension Lead  2m","Wilko","Extension Leads",NA,"2m",NA,0.86
"255640","Wilko Extension Tower 10 Gang Surge Protected","Wilko","Extension Leads","White","2m",NA,0.93
"342815","Wilko 2 Socket 5m 10amp Extension Lead","Wilko","Extension Leads",NA,"10AMP",NA,0.86
"342818","Wilko 6 Socket 2m 10amp Extension Lead","Wilko","Extension Leads",NA,"10AMP",NA,0.86
"342831","Wilko 2 Socket 5m 10amp Small Cassette Reel","Wilko","Extension Leads",NA,"10AMP x 5m",NA,0.86
"342832","Wilko 2 Socket 10M 10amp Cassette Reel","Wilko","Extension Leads",NA,"10AMP",NA,0.86
"342833","Wilko 2 Socket 10amp Cable Reel 15m","Wilko","Extension Leads",NA,"10AMP x 15m",NA,0.86
"342834","Wilko 4 Socket 13amp Case Reel 20m","Wilko","Extension Leads",NA,"13AMP x 20m",NA,0.86
"343062","Wilko 4 Way Plug  Adapter","Wilko","Socket Converter",NA,NA,NA,0.79
"343076","Wilko Mechanical Segment Timer","Wilko","Timers",NA,NA,NA,0.79
"343567","Wilko Garden Extension Lead 2 Sockets 15m","Wilko","Garden Extension Leads",NA,"15m",NA,0.86
"42772","Wilko Circuit Breaker White","Wilko","Circuit Breaker",NA,NA,"CB004",0.86
"455030","Wilko Extension Lead 1 Socket 8m","Wilko","Extension Lead",NA,"8m",NA,0.86
"455037","Wilko Extension Lead with USB 4 Gang White","Wilko","Extension Lead",NA,"2m",NA,0.86
"455038","Wilko Extension Lead with USB 6 Gang White","Wilko","Extension Lead",NA,"2m",NA,0.86
"455041","Wilko Tower 10 Socket USB Surge","Wilko","Extension Tower",NA,NA,NA,0.79
"5356540","Wilko Rubber Trailing Socket 13amp 1 Way","Wilko","Trailing Sockets","White","1way",NA,0.93
"5357240","Wilko Extension Lead 2 way","Wilko","Extension Leads","White","13a, 6.5x16.5cm",NA,0.93
"5362540","Wilko Multisocket 13amp 2way","Wilko","Multi Sockets","White","13AMP",NA,0.93
"5363040","Wilko Multisocket 13amp 3way","Wilko","Multi Sockets","White","13AMP",NA,0.93
