"Article","Web Description","Brand","DQ Score"
"436126","Collection Eyes Uncovered Eye Palettes 6g","Collection 2000",0.95
"436127","Collection Eyes Uncovered Eye Palettes 6g","Collection 2000",0.88
"436130","Collection Fast Stroke Defining Mascara 9ml","Collection 2000",0.88
"436131","Collection Fast Stroke Defining Mascara 9ml","Collection 2000",0.88
"436132","Collection Fast Stroke Defining Mascara 9ml","Collection 2000",0.88
"436133","Collection Fast Stroke Defining Mascara 9ml","Collection 2000",0.88
"436134","Collection Fast Stroke Defining Mascara 9ml","Collection 2000",0.88
"440540","Collection Illuminating Touch Under Eye Brightener","Collection 2000",0.81
"440541","Collection Supersize Mascara Black","Collection 2000",0.81
"440542","Collection Supersize Mascara Brown/Black","Collection 2000",0.81
"440543","Collection Supersize Mascara Ultra Black","Collection 2000",0.81
"454009","Collection Volumax Maximum Volume Mascara andLengthening Lash Primer Ultra Black","Collection 2000",0.88
"454010","Collection Volumax Maximum Volume Mascara andLengthening Lash Primer Black","Collection 2000",0.88
"454011","Collection Volumax Maximum Volume Mascara andLiquid Eyeline Primer Ultra Black","Collection 2000",0.88
"454012","Collection Volumax Maximum Volume  Mascara andLiquid Eyeline Primer Ultra Black Waterproof","Collection 2000",0.88
"454297","Collection Volumax Maximum Volume Mascara andLengthing Lash Primer Ultra Black Waterproof","Collection 2000",0.88
"451471","Max Factor 2000 Cal Curl Addict Mascara Black","Maxfactor",0.88
