"Article","Web Description","Brand","Type","DQ Score"
"434167","Essence Mosaic Blush All You Need Is Pink 20","Essence","Blusher",1
"434169","Essence Mosaic Blush The Berry Connection 40","Essence","Blusher",1
"434170","Essence All I Need Concealer Palette Cover It All10","Essence","Concealer",1
"453538","Essence Luminous Matt Bronzing Powder 01","Essence","Bronzer",1
"453541","Essence Instant Matt Setting Spray","Essence","Priming and Setting",1
"453590","Essence 2in1 Highlight and Contouring Stick 10","Essence","Contouring",1
"453591","Essence 2in1 Highlight and Contouring Stick 20","Essence","Contouring",1
"453593","Essence Luminous Matt Bronzing PowderSunglow 02","Essence","Bronzer",1
"453594","Essence Blush Play Sculpt Blush Pallete 10","Essence","Bronzer",1
"453595","Essence Blush Play Sculpt Blush Pallete 20","Essence","Bronzer",1
"453598","Essence Cover Stick Matt Naturelle 10","Essence","Concealer",1
"453599","Essence Cover Stick Matt Sand 20","Essence","Concealer",1
"453600","Essence Cover Stick Matt Honey 30","Essence","Concealer",1
"453652","Essence Instant Matt Make-Up Matt Sand 20","Essence","Liquid Foundation",1
"453654","Essence My Must Haves Bronzing Powder 01","Essence","Bronzer",1
"453655","Essence My Must Haves Fixing Powder 01","Essence","Powder Foundation",1
"453656","Essence My Must Haves Highlight Powder 01","Essence","Powder Foundation",1
"453657","Essence Mosaic Blush 35","Essence","Blusher",1
"453658","Essence My Must Haves Matt Blush 01","Essence","Blusher",1
"453659","Essence My Must Haves Matt Blush 02","Essence","Blusher",1
"453660","Essence My Must Haves Satin Blush 01","Essence","Blusher",1
"453661","Essence My Must Haves Satin Blush 02","Essence","Blusher",1
"453662","Essence My Must Haves Satin Blush 03","Essence","Blusher",1
"453663","Essence Rainbow Glow Highlighter 10","Essence","Blusher",1
"437841","Maybelline Fit Me Matte  Poreless Foundation 220Natural Beige","Maybelline","Liquid Foundation",1
"437842","Maybelline Fit Me Matte  Poreless Foundation 230Natural Buff","Maybelline","Liquid Foundation",1
"437843","Maybelline Fit Me Matte  Poreless Foundation 120Classic Ivory","Maybelline","Liquid Foundation",1
"437844","Maybelline Fit Me Matte  Poreless Foundation 105Natural Ivory","Maybelline","Liquid Foundation",1
"437845","Maybelline Fit Me Matte  Poreless Foundation 130Buff Beige","Maybelline","Liquid Foundation",1
"450689","Maybelline Fit Me Matte Poreless Foundation 250Sun Beige","Maybelline","Liquid Foundation",1
"450690","Maybelline Fit Me Matte Poreless Foundation 350Caramel","Maybelline","Liquid Foundation",1
"450691","Maybelline Fit Me Matte Poreless Foundation 128Warm Nude","Maybelline","Liquid Foundation",1
"450692","Maybelline Fit Me Matte Poreless Foundation 100Warm Ivory","Maybelline","Liquid Foundation",1
"450693","Maybelline Fit Me Matte Poreless Foundation 102Fair Ivory","Maybelline","Liquid Foundation",1
"450694","Maybelline Fit Me Matte Poreless Foundation 122Cream Beige","Maybelline","Liquid Foundation",1
"450696","Maybelline Fit Me Matte Poreless Foundation 365Espresso","Maybelline","Liquid Foundation",1
"450697","Maybelline Fit Me Matte Poreless Foundation 352Truffle","Maybelline","Liquid Foundation",1
"450698","Maybelline Fit Me Matte Poreless Foundation 355Pecan","Maybelline","Liquid Foundation",1
"450700","Maybelline Dream Satin Liquid Foundation 43 Buff30ml","Maybelline","Liquid Foundation",1
"450701","Maybelline Dream Satin Liquid Foundation 51Caramel Beige 30ml","Maybelline","Liquid Foundation",1
"450702","Maybelline Dream Satin Liquid Foundation 62Sandal Wood 30ml","Maybelline","Liquid Foundation",1
"450703","Maybelline Dream Satin Liquid Foundation 54Toffee 30ml","Maybelline","Liquid Foundation",1
"450704","Maybelline Master Camo Color Correcting ConcealerKit Light","Maybelline","Concealer",1
"450705","Maybelline Master Camo Color Correcting ConcealerKit Medium","Maybelline","Liquid Foundation",1
"452416","Maybelline Dream Sun Bronzing Powder 01 Blonde","Maybelline","Bronzer",1
"452417","Maybelline Dream Sun Bronzing Powder 02 Brunette","Maybelline","Bronzer",1
"456693","Maybelline Eraser Eye Concealer Honey","Maybelline","Concealer ",1
"456694","Maybelline Master Strobing Liquid IlluminatingHighlighter Light Iridescent","Maybelline","Highlighter",1
"456695","Maybelline Master Strobing Liquid IlluminatingHighlighter Medium Nude Glow","Maybelline","Highlighter",1
"456696","Maybelline Fit Me Matte Poreless Face Powder 350Caramel","Maybelline","Powder Foundation",1
"456697","Maybelline Fit Me Matte Poreless Face Powder 220Natural Beige","Maybelline","Powder Foundation",1
"456698","Maybelline Fit Me Matte Poreless Face Powder 128Natural Ivory","Maybelline","Powder Foundation",1
