"Article","Web Description","Brand","DQ Score"
"338589","Freederm Deep Pore Cleansing Wipes 25pk","Freedom",0.8625
"338590","Freederm Exfoliating Daily Wash 150ml","Freedom",0.8625
"338592","Freederm Face Gel 10g","Freedom",0.8625
"331759","Clean & Clear Exfoliating Wash 150ml","Johnsons",0.8625
"222498","Strawberry Souffle Face Mask","Montagne Jeunesse",0.775
"449527","7th Heaven Charcoal Mud Masque","Montagne Jeunesse",0.95
"449528","7th Heaven Argan Oil Rescue Hair Masque","Montagne Jeunesse",0.95
"451134","WetOnes Be Fresh 12s","Wet Ones",0.8625
"347843","Skin Therapy Sensitive Skin Fragrance Free Wipes25pk","Wilko",0.8625
"347844","Skin Therapy Normal and Combination LightyFragranced Wipes 25pk","Wilko",0.8625
"347845","Skin Therapy Tea Tree  Wipes 25pk","Wilko",0.8625
"347909","Skin Therapy Sensitive Skin Cleanser 150ml","Wilko",0.8625
"348116","Skin Therapy Sensitive Skin Face Wash 150ml","Wilko",0.95
"348121","Skin Therapy Tea Tree Face Wash 150ml","Wilko",0.95
"348122","Skin Therapy TeaTree Blemish Serum 30ml","Wilko",0.95
"348553","Spotless Intense Rapid Treatment Gel 15ml","Wilko",0.95
"348555","Spotless Deepclean Daily Face Wash 150ml","Wilko",0.95
"421445","Skin Therapy Sensitive Skin Facial Scrub 150ml","Wilko",0.95
"421446","Skin Therapy Tea Tree Facial Scrub 150ml","Wilko",0.95
