"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"218473","Garnier Skin Naturals Ultra Lift Night AntiWrinkle Firming Cream 50ml","Garnier","Facial Moisturisers","1","50ml",1
"207775","L'Oreal Paris Age Perfect Rehydrating Day Cream50ml","L'Oreal","Facial Moisturisers","1","50ml",1
"331996","L'Oreal Paris Triple Active Night Cream 50ml","L'Oreal","Facial Moisturisers","1","50ml",1
"342089","L'Oreal Paris Revitalift Anti Wrinkle Day CreamSPF 30 50ml","L'Oreal","Facial Moisturisers","1","50ml",1
"403725","L'Oreal Paris Revitalift Magic Blur Anti AgeingMoisturiser 50ml","L'Oreal","Facial Moisturisers","1","50ml",1
"411971","L'Oreal Men Expert Vita Lift 5 Anti AgeingMoisturiser 50ml","L'Oreal","Mens Moisturiers","1","50ml",1
"411977","L'Oreal Men Expert Pure Power Anti-SpotMoisturiser 50ml","L'Oreal","Mens Moisturisers","1","50ml",1
"433659","L'Oreal Paris Anti-Wrinkle Expert Hydrating Cream35+ 50ml","L'Oreal","Face Cream","1","50ml",1
"433660","L'Oreal Paris Anti-Wrinkle Expert Firming Cream45+ 50ml","L'Oreal","Face Cream","1","50ml",1
"433661","L'Oreal Paris Anti Wrinkle Expert Restoring Cream55+ 50ml ","L'Oreal","Face Cream","1","50ml",1
"450664","L'Oreal Men Expert Hydra Sensitive Face Wash150ml","L'Oreal","Mens Moisturiers","1","150ml",1
"450665","L'Oreal Men Expert Hydra Sensitive Moisturiser50ml","L'Oreal","Mens Moisturiers","1","50ml",1
"450666","L'Oreal Men Expert Hydra Sensitive Post ShaveBalm 125ml","L'Oreal","Mens Moisturiers","1","125ml",1
"269390","Nivea Daily Essentials Light Moisturising DayCream SPF 15 50ml","Nivea","Facial Moisturisers","1","50ml",1
"278478","Nivea  Daily Essentials Regenerating NightCream 50ml","Nivea","Facial Moisturisers","1","50ml",1
"309460","Nivea Daily Essentials Oil Free Moisturising DayCream 50ml","Nivea","Facial Moisturisers","1","50ml",1
"310869","Nivea Daily Essentials Rich Regenerating NightCream 50ml","Nivea","Facial Moisturisers","1","50ml",1
"324061","Nivea Pure and Natural Regenerating Night Cream50ml","Nivea","Facial Moisturisers","1","50ml",1
"338360","Nivea Daily Essentials Express Hydration PrimerDry and Sensitive Skin 50ml","Nivea","Facial Moisturisers","1","50ml",1
"338510","Nivea Q10 Plus Anti-Wrinkle Pore Refining Day Cream SPF 15 50ml","Nivea","Facial Moisturisers","1","50ml",1
"351156","Nivea Daily Essentials Sensitive Day Cream SPF1550ml","Nivea","Facial Moisturisers","1","50ml",1
"351157","Nivea Daily Essentials Sensitive Night Cream 50ml","Nivea","Facial Moisturisers","1","50ml",1
"351599","Nivea Q10 Plus Anti-Wrinkle CC Tinted Day CreamSPF 15 50ml","Nivea","Facial Moisturisers","1","50ml",1
"453460","Nivea Men Sens Stubble Moisturiser 50ml","Nivea","Mens Moisturisers","1","50ml",1
"100782","Olay Beauty Fluid 100ml","Olay","Facial Moisturisers","1","100ml",1
"100784","Olay Regular Fluid 200ml","Olay","Facial Moisturisers","1","200ml",1
"245099","Olay Everyday Cream Light Glow 50ml","Olay","Facial Moisturisers","1","50ml",1
"248484","Olay Anti Wrinkle Firm and Lift Night Cream 50ml","Olay","Facial Moisturisers","1","50ml",1
"276143","Olay Double action Day Cream 50ml","Olay","Facial Moisturisers","1","50ml",1
"277500","Olay Double Action Night Cream Normal and Dry 50ml","Olay","Facial Moisturisers","1","50ml",1
"277777","Olay Complete Care Day Cream Normal and Dry SPF1550ml","Olay","Facial Moisturisers","1","50ml",1
"325863","Olay Total Effects 7in1 Anti-Ageing FragranceFree 50ml","Olay","Facial Moisturisers","1","50ml",1
"325866","Olay Total Effects Night Cream 50ml","Olay","Facial Moisturisers","1","50ml",1
"325985","Olay Complete BB cream Medium SPF15 50ml","Olay","Facial Moisturisers","1","50ml",1
"351632","Olay Anti Wrinkle Daily Lotion 100ml","Olay","Facial Moisturisers","1","100ml",1
"351633","Olay Essential Care Day Cream Sensitive 50ml","Olay","Facial Moisturisers","1","50ml",1
"351634","Olay Complete Care BB Cream Medium 50ml","Olay","Facial Moisturisers","1","50ml",1
"351636","Olay Total Effects Age Defying MoisturiserSPF15 50ml","Olay","Facial Moisturisers","1","50ml",1
"437549","Simple Regeneration Age Resisting Day CreamSPF15 50ml","Simple","Face Cream","1","50ml",1
"437550","Simple Regeneration Age Resisting Facial Wash150ml","Simple","Face Wash","1","150ml",1
"346659","Wilko Mens Moisturiser 100ml","Wilko","Mens Moisturisers","1","100ml",1
