"Article","Web Description","DQ Score"
"159721","Polycell Weather Proof Polyfilla 330g",1
"288364","Polycell Cement Quick Set 2kg",1
"3106940","Polycell Multi Purpose Polyfilla 450g",1
"315533","Polycell Stain Stop Aerosol 250ml",1
"162075","Unibond All-Purpose No More Cracks Ready Mixed Filler 600g",1
"288813","UniBond Weather-Guard Outdoor Sealant Roof and Gutter Flexible Black",1
"288814","UniBond Sealant Finishing Tool",1
"288853","UniBond Weather Guard Outdoor Window and Frame Sealant White",1
"288855","UniBond Super Window and Door Frame Interior and Exterior Sealant Brown 300ml",1
"3144548","Unibond Super All Purpose Silicone Sealant Translucent 300ml",1
"3144578","Unibond Super All Purpose Silicone Sealant White 300ml",1
"322243","Unibond Kitchen and Bathroom Sealant Anti-Mould Translucent   150ml",1
"335312","Unibond Shower, Bathroom and Kitchen Speed Seal Sealant White 300ml",1
"335313","Unibond Shower Bathroom and Kitchen Anti-Mould Sealant Triple Protection White 300ml",1
"341323","Unibond Go Seal 100ml",1
"64067","Unibond All Purpose Interior Sealant White 467g",1
"157232","Wilko Decorator Sealant All-Purpose Silicone White300g",1
"157233","Wilko All-Purpose Silicone Sealant Translucent 300g",1
"158724","Wilko Wood Filler Flexible Ready Mixed Brown 1kg",1
"187335","Wilko Decorator Filling Tool",1
"215768","Wilko Decorator Interior Filler Lightweight ReadyMixed 600ml",1
"215770","Wilko Ready Mix Quick Dry Filler 1kg",1
"228982","Wilko Decorator Bathroom and Kitchen Silicone Sealant Translucent 300ml",1
"245441","Wilko Decorators Caulk 300ml",1
"288922","Wilko Sealing Strip Bathroom and Kitchen 38mmx3.35m",1
"3126940","Wilko Putty Multi-Purpose Linseed Oil 1kg",1
"342401","Wilko All Purpose Powder Filler  1.5Kg",1
"342404","Wilko Deep Gap Filler 1Ltr",1
"342733","Wilko Fungicidal Spray 500ml",1
"427805","Wilko Heavy Duty Sealant Gun 11in",1
"49900","Wilko Filler All-Purpose Ready Mixed 330g",1
"77959","Wilko Wood Filler Flexible Ready Mixed White 330g",1
"77960","Wilko Wood Filler Flexible Ready Mixed White 1kg",1
