"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"160840","Polycell Fine Surface Polyfilla 400g","Polycell","Ready Mixed Filler",NA,"400g",0.8625
"160843","Polycell Fine Surface Polyfilla 500g","Polycell","Ready Mixed Filler",NA,"500g",0.8625
"162078","Polycell Finishing Skim Polyfilla 1L","Polycell","Skimming Filler",NA,"1L",0.9125
"200275","Polycell Quick Drying Polyfilla 500g","Polycell","Ready Mixed Filler",NA,"500g",0.9125
"237632","Polycell Damp Seal 500ml","Polycell","Damp Seal",NA,"500ml",0.9125
"237633","Polycell Damp Seal One Coat 1L","Polycell","Damp Seal",NA,"1L",0.9125
"288363","Polycell Finishing Skim Ready Mixed 2.5L","Polycell","Skimming Filler",NA,"25L",0.9125
"288365","Polycell Polyfilla Deep Gap 1L","Polycell","Ready Mixed Filler",NA,"1L",0.9125
"288366","Polycell Plaster Repair Ready Mixed 2.5L","Polycell","Plaster Repair",NA,"2.5L",0.9125
"3107040","Polycell Multi Purpose Polyfilla 1.8kg","Polycell","Powdered Filler",NA,"1.8kg",0.9125
"3111740","Polycell Multi Purpose Polyfilla 1kg","Polycell","Ready Mixed Filler",NA,"1kg",0.9125
"315534","Polycell Stain Stop Can 1L","Polycell","Stain Remover",NA,"1L",0.9125
"332445","Polycell Polyfilla Spray 300ml","Polycell","Spray Filler",NA,"300ml",0.9125
"92207","Polycell Multi Purpose Polyfilla 330g","Polycell","Ready Mixed Filler",NA,"330ml",0.9125
"77798","Polycell Flexible Gap Polyfilla Standard Cartridge290ml","Polyfilla","Ready Mixed Filler","1",NA,0.9125
"150102","Ronseal High Performance Wood Filler White PaintedFinish 275g","Ronseal","Wood Filler",NA,"275g",0.9125
"150111","Ronseal High Performance Wood Filler Natural Pine275g","Ronseal","Wood Filler",NA,"275g",0.9125
"150116","Ronseal Wet Rot Wood Hardener 250ml","Ronseal","Wood Hardener",NA,"250ml",0.9125
"199563","Ronseal Multi Purpose Wood Filler Natural Pine 100g","Ronseal","Wood Filler",NA,"100g",0.9125
"199566","Ronseal Multi Purpose Wood Filler Light Antique Pine 100g","Ronseal","Wood Filler",NA,"100g",0.9125
"199567","Ronseal Multi Purpose Wood Filler Medium Mahogany100g","Ronseal","Wood Filler",NA,"100g",0.9125
"199569","Ronseal Multi Purpose Wood Filler White Painted Finish 100g","Ronseal","Wood Filler",NA,"100g",0.9125
"245984","Unibond Anti Mould Shower and Bathroom Sealant White 300ml","Unibond","Bathroom Sealant",NA,"300ml",0.9125
"253772","UniBond Anti Mould Sealant Kitchen and Bathroom Translucent 300ml","Unibond","Sealant",NA,"300ml",0.9125
"253990","Unibond Sealant Remover and Smoother","Unibond","Sealant Smoother","1",NA,0.9125
"288815","Unibond Silicone Sealant Remover 300ml","Unibond","Sealant Remover",NA,"300ml",0.9125
"322244","Unibond Kitchen and Bathroom Sealant Anti-Mould White 150ml","Unibond","Bathroom and Kitchen Sealant",NA,"150ml",0.9125
"323145","Unibond Grout Reviver Pen Ice White 7ml","Unibond","Grout Reviver",NA,"7ml",0.9125
"340965","Unibond Kiwispeed Sealant White 208ml","Unibond","Bathroom Sealant","1",NA,0.9125
"127764","Wilko Decorator Exterior Filler Ready Mixed 330g","Wilko","Ready Mixed Filler",NA,"330g",0.9125
"158725","Wilko Wood Filler Flexible Ready Mixed Brown 330g","Wilko","Wood Filler",NA,"330g",0.9125
"215766","Wilko Ready Mix Quick Dry Filler 330g","Wilko","Ready Mixed Filler",NA,"330g",0.9125
"215767","Wilko Filler All-Purpose Flexible Ready Mixed 330g","Wilko","Ready Mixed Filler",NA,"330g",0.9125
"217868","Wilko Decorator Kitchen Sealant White 300ml","Wilko","Kitchen Sealant",NA,"300ml",0.9125
"228977","Wilko Decorator Silicone Sealant All Purpose Ivory300ml","Wilko","All Purpose Sealant",NA,"300ml",0.9125
"228978","Wilko Decorator Silicone Sealant All Purpose Brown300ml","Wilko","All Purpose Sealant",NA,"300ml",0.9125
"228980","Wilko Decorator Interior Frame Sealant White 300ml","Wilko","Window Sealant",NA,"300ml",0.9125
"228981","Wilko Decorator Bathroom and Kitchen Silicone Sealant White 300ml","Wilko","Bathroom and Kitchen Sealant",NA,"300ml",0.9125
