"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","DQ Score"
"313623","Aquarium Ornament Assorted Castles","Classic Pet Products","Ornaments",NA,NA,"9.2x6.5cm",0.81
"313624","Classic Pet Products Underwater Kingdom Aquarium Ornament Castle Ruin","Classic Pet Products","Ornaments",NA,"1","23cm",0.93
"313912","Classic Pet Products Underwater Kingdom Aquarium Ornament Starfish","Classic Pet Products","Ornaments",NA,"1",NA,0.86
"313915","Classic Aquarium Ornament Divers Helmet","Classic Pet Products","Ornaments",NA,"1","18cm",0.88
"313916","Classi Aquarium Ornament Assorted Bridges","Classic Pet Products","Ornaments",NA,"1","16cm",0.88
"313917","Classic Aquarium Ornament Arizona Rock Large","Classic Pet Products","Ornaments",NA,"1","20cm",0.88
"313919","Classic Aquarium Ornament Trees, Skull and Barrel","Classic Pet Products","Ornaments",NA,"1","20cm",0.88
"313920","Classic Aquarium Ornament Garden","Classic Pet Products","Ornaments",NA,"1","13cm",0.88
"313922","Classic Aquarium Ornament Crystal Ruin","Classic Pet Products","Ornaments",NA,"1","25cm",0.88
"334289","Aqua Ornament Pagode a Plants","Classic Pet Products","Ornaments",NA,"1",NA,0.81
"334290","Classic Pet Products Aquarium OrnamentStump Garden","Classic Pet Products","Ornaments",NA,"1","20cm",0.93
"334291","Classic Aquatics Aquarium Ornaments Rocky Ledge Multi-Coloured","Classic Pet Products","Ornaments",NA,"1",NA,0.81
"334292","Classic Aquatics Aquarium Ornaments Treasure Pot Multi-Coloured","Classic Pet Products","Ornaments",NA,"1",NA,0.81
"334293","Classic Aquatics Aquarium Ornaments Bonsai Mini Multi-Coloured","Classic Pet Products","Ornaments",NA,"1","Mini",0.88
"298734","Wilko Aquarium Ornament Large Assorted Designs","Rosewood","Ornaments",NA,NA,"Large",0.81
"314962","Sydeco Bamboo Large Plants","Sydeco","Ornaments",NA,"1",NA,0.86
