"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","DQ Score"
"435843","Polar Great Travel Flask Pink","Polar Gear","Flasks",NA,"1","8cm x 8cm x 21cm",0.88
"435847","Polar Gear Travel Mug Black","Polar Gear","Travel Mug",NA,"1","8cm x 8cm x 21cm",0.93
"148340","Thermos Originals Flask Black 1L","Thermos","Flasks","Black",NA,"1L",0.93
"434591","Thermos Stainless King Food Flask 470ml","Thermos","Flasks",NA,"1","470ml",0.93
"434592","Thermos Stainless King Travel Flask 470ml","Thermos","Flasks",NA,"1","470ml",0.93
"434593","Thermos Hercules Flask 1L","Thermos","Flasks",NA,"1","1L",0.93
"178375","Wilko Stainless Steel Travel Mug","Wilko","Travel Mug","Silver","1",NA,0.93
"233639","Wilko Flask Stainless Steel 500ml","Wilko","Flasks","Silver",NA,"500",0.93
"285295","Wilko Thermal Flask with Glass Liner 1L","Wilko","Flasks",NA,NA,"1L",0.86
"285296","Wilko Plastic Glass Lined Flask with Two Cups","Wilko","Flasks",NA,NA,"1.8L",0.86
"435838","Wilko Flask Copper Effect 1L","Wilko","Flasks",NA,NA,NA,0.79
