"Article","Web Description","Brand","Type","Colour","Size","DQ Score"
"328642","Tefal Stir Fry Pan 28cm","Tefal","Frying Pans","Grey","28cm",1
"328813","Tefal Frying Pan 24cm","Tefal","Frying Pans","Grey","24cm",1
"328816","Tefal Frying Pan 28cm","Tefal","Frying Pans","Grey","28cm",1
"328819","Tefal Saute Pan 26cm","Tefal","Saute Pans","Grey","26cm",1
"328909","Tefal Frying Pan 32cm","Tefal","Frying Pans","Grey","32cm",1
"221116","Wilko Functional Non Stick Frying Pan 24cm Black","Wilko","Frying Pans","Grey","24cm",1
"221117","Wilko Frying Pan Aluminium 28cm Black","Wilko","Frying Pans","Grey","28cm",1
"221120","Wilko Frying Pan With Lid Aluminium 28cm Black","Wilko","Frying Pans","Grey","28cm",1
"279279","Wilko Griddle Pan Aluminium 28cm","Wilko","Griddle Pans","Black","28cm",1
"328644","Wilko Die Cast Frying Pan Aluminium 28cm","Wilko","Frying Pans","Grey","28cm",1
