"Article","Web Description","Brand","DQ Score"
"437589","Gizmo Juggling Christmas PuddingsSet of 3","Wilko",0.6
"437592","Gizmo Festive Face Mats 40 Designs","Wilko",0.6
"437610","Gizmo USB Animal Shapes","Wilko",0.6
"437954","Gizmo Pug Nodding Dogs","Wilko",0.6
"437979","Gizmo Robot Hub","Wilko",0.6
"455268","Gizmo Mood Mug","Wilko",0.6
"455269","Gizmo Melting Range","Wilko",0.6
"455270","Gizmo USB Astro Light","Wilko",0.6
"455271","Gizmo Light Box","Wilko",0.6
"456784","Gizmo Selfie Clips","Wilko",0.6
"456785","Gizmo Bookman light","Wilko",0.6
"456786","Gizmo Assorted Quizs","Wilko",0.6
"456787","Gizmo Pocket Poker","Wilko",0.6
"456788","Gizmo Insta Photobooth","Wilko",0.6
"456789","Gizmo Beer Pong","Wilko",0.6
"456790","Gizmo Party Face","Wilko",0.6
"456791","Gizmo Animal Face Mats","Wilko",0.6
"456792","Gizmo Festive Dress Up Napkins","Wilko",0.6
"456793","Gizmo Festive Quiz","Wilko",0.6
"456794","Gizmo Festive Photo Booth","Wilko",0.6
"456795","Gizmo Festive Socks","Wilko",0.6
"456796","Gizmo Shot Pong","Wilko",0.6
"456797","Gizmo Penguin Float","Wilko",0.6
"456798","Gizmo Drink Markers","Wilko",0.6
"456799","Gizmo Credit Card Tool","Wilko",0.6
"456913","Gizmo Spin the Shot","Wilko",0.6
"456914","Gizmo Spin the Bottle","Wilko",0.6
"456972","Gizmo Mini Powerbank 2200mAh","Wilko",0.6
"456973","Gizmo Book Light","Wilko",0.6
"456974","Gizmo Eco Torch Owl","Wilko",0.6
"456976","Gizmo Disco Light","Wilko",0.6
"456977","Gizmo Gel Anti Stress Ball","Wilko",0.6
"456980","Gizmo Christmas Pudding Head Butt","Wilko",0.6
"457485","Gizmo Pug Tape Measure","Wilko",0.6
"457486","Gizmo Pocket Battle Games","Wilko",0.6
"457487","Gizmo Phone Mini Fan","Wilko",0.6
"457488","Gizmo Light Headphones","Wilko",0.6
"457489","Gizmo Facemats","Wilko",0.6
"457490","Gizmo Mind Reader","Wilko",0.6
"457491","Gizmo Torch","Wilko",0.6
"457492","Gizmo Selfie Glasses","Wilko",0.6
"457493","Gizmo Counting Jar","Wilko",0.6
