"Article","Web Description","Brand","DQ Score"
"425821","Disc Deluxe Target and Dart Throwing Game","Buitenspeel",0.891666666666667
"425822","Giant Playing Cards","Buitenspeel",0.891666666666667
"425824","Tin Throwing Game","Buitenspeel",0.891666666666667
"425829","Parachute","Buitenspeel",0.891666666666667
"268008","Classic Monopoly","Hasbro",0.891666666666667
"454755","Game of Thrones Cluedo","Hasbro",0.783333333333333
"280110","Don't Say It Game","Paul Lamond Games",0.891666666666667
"291348","Yes No Card Game","Paul Lamond Games",0.891666666666667
"401406","Charades For Kids","Paul Lamond Games",0.891666666666667
"448224","Are We There Yet? Travel Game","Paul Lamond Games",0.841666666666667
"419540","FX 4 x 35pc Jigsaw Asst B","Ravensburger",0.891666666666667
"440504","Jigsaws 4 x 35piece Assorted Theme","Ravensburger",0.891666666666667
"424697","BCE Multi Games Table Snooker/Pool/Dartboard 6ft","Riley",0.833333333333333
"428506","Thomas The Tank Engine Soft Ball","Thomas & Friends",0.891666666666667
