"Article","Web Description","Brand","DQ Score"
"438034","Kiss Pamper Bag","Wilko",0.716666666666667
"438035","Kiss Gel Nail Set","Wilko",0.716666666666667
"456723","Botanica Manicure Set","Wilko",0.716666666666667
"456749","Botanica Luxury Bath and Body Set","Wilko",0.716666666666667
"456750","Botanica Luxury Pamper Set","Wilko",0.716666666666667
"456751","Botanica Hand Care Collection","Wilko",0.716666666666667
"456752","Botanica Trio of Treats","Wilko",0.716666666666667
"456753","Glow Essentials Cosmetic Bag","Wilko",0.716666666666667
"456754","Glow Indulgent Pamper Set","Wilko",0.716666666666667
"456755","Glow Hand Duo Set","Wilko",0.716666666666667
"456756","Glow Luxury Body Set","Wilko",0.716666666666667
"456757","Glow Footcare Set","Wilko",0.716666666666667
"456758","Glow Miniatures Set","Wilko",0.716666666666667
"456759","Botanica Hand Duo","Wilko",0.716666666666667
"456760","Botanica Travel Bag","Wilko",0.716666666666667
"456761","Botanica Bath Salts","Wilko",0.716666666666667
"456762","Botanica Bath Fizzer","Wilko",0.716666666666667
"456763","Botanica Bath Foam Bauble 150ml","Wilko",0.775
"456764","Kiss Weekend Rucksack","Wilko",0.716666666666667
"456765","Botanica Mirror","Wilko",0.716666666666667
"456766","Glow Cosmetic Brush Collection","Wilko",0.716666666666667
"456767","Kiss Double Mascara","Wilko",0.775
"456768","Kiss Duo Eyebrow Pencil Brown","Wilko",0.716666666666667
"456769","Kiss Compact Eye Pallet","Wilko",0.716666666666667
"456770","Kiss False Eyelashes","Wilko",0.716666666666667
"456771","Kiss Duo Lip Gloss","Wilko",0.775
"456773","Kiss Blush & Glow Cheek Palette","Wilko",0.716666666666667
"456775","Kiss Party Eye Palette","Wilko",0.716666666666667
"456777","Kiss Cosmetic Brush Set Tin","Wilko",0.716666666666667
"456778","Kiss Strobe and Contour Set","Wilko",0.716666666666667
"456779","Kiss Eyebrow Set","Wilko",0.716666666666667
"456781","Kiss Large Accessories Kit","Wilko",0.716666666666667
"456782","Kiss Cosmetic Kit","Wilko",0.716666666666667
"456783","Kiss Foundation Blotter","Wilko",0.716666666666667
"456904","Botanica Green Floral Scarf","Wilko",0.891666666666667
"456905","Botanica Purple Flower Scarf","Wilko",0.891666666666667
"456906","Glow Pen and Stylus","Wilko",0.833333333333333
"456907","Kiss Camera Bag","Wilko",0.833333333333333
"456908","Botanica Hanging Heart Decoration","Wilko",0.716666666666667
"456910","Botanica Cosmetic Mirror","Wilko",0.716666666666667
"456936","Glow Notebook A5 2pk","Wilko",0.716666666666667
"456937","Glow Diary","Wilko",0.716666666666667
"457484","Botanica Bath Confetti","Wilko",0.716666666666667
