"Article","Web Description","Brand","Type","Colour","Pack Qty","Washable","Size","DQ Score"
"316130","Wilko Wine Glass","Wilko","Wine Glasses","Clear","1","Washable",NA,0.941666666666667
"316131","Wilko Mixer Glass","Wilko","Tumblers","Clear","1",NA,NA,0.883333333333333
"316134","Wilko Pint Glass","Wilko","Pint Glasses","Clear","1",NA,"1pt",0.941666666666667
"316135","Wilko Hiball Glass","Wilko","Tumblers","Clear","1",NA,NA,0.883333333333333
"318956","Wilko Champagne Flute","Wilko","Champagne Glasses","Clear",NA,NA,"210ml",0.883333333333333
"427865","Wilko Teardrop Tumbler 4pk","Wilko","Tumblers",NA,NA,NA,NA,0.766666666666667
"427866","Wilko Teardrop Hi-Ball Tumbler 4pk","Wilko","Tumblers",NA,NA,NA,NA,0.766666666666667
"427867","Wilko Wine Glass 45cl 4pk","Wilko","Wine Glasses",NA,NA,NA,NA,0.766666666666667
"427868","Wilko Wine Glass 34cl 4pk","Wilko","Wine Glasses",NA,"4 Pack",NA,"34cl",0.883333333333333
"427869","Wilko Champagne Flute 4pk","Wilko","Champagne Glasses",NA,NA,NA,NA,0.766666666666667
"428470","Wilko Tumbler Beehive Pink","Wilko","Tumblers",NA,"1",NA,NA,0.825
"428471","Wilko Tumbler Beehive Blue","Wilko","Tumblers",NA,"1",NA,NA,0.825
"428472","Wilko Tumbler Beehive Green","Wilko","Tumblers",NA,NA,NA,NA,0.766666666666667
"429986","Drinks Dispenser Clear 7L","Wilko","Drink Dispenser","Clear","1",NA,"7 Litre",0.891666666666667
"431243","Wilko Milk Bottle Set 6pcs","Wilko","Bottles",NA,NA,NA,NA,0.766666666666667
"431244","Wilko Coloured Milk Bottle Set 6pcs","Wilko","Bottles","Multi","6",NA,NA,0.883333333333333
"435504","Wilko Barcraft Glass Cocktail Kit 5pcs","Wilko","Cocktail Kit",NA,"1",NA,"Cocktail Shaker 22cm x 8.7cm, glass jars 8.5cm x 4",0.883333333333333
"447363","Wilko Clip Top Water Bottle With Chalk Heart","Wilko","Bottles","Clear","1",NA,"10cm x 10cm x 27.2cm",0.941666666666667
"447437","Wilko Sundae Glass 8cm","Wilko","Sundae Glass",NA,"1",NA,"8cm x 8cm x 18.6cm",0.883333333333333
"453109","Wilko Wine Glass","Wilko","Wine Glasses",NA,"1",NA,NA,0.825
"453110","Wilko Glass Bottle with Wooden Lid","Wilko","Bottles",NA,"1",NA,NA,0.825
"239390","Wilko Functional Mixer Glass 4pk","Wilko Functional","Tumblers","Clear","1",NA,"4 Pack",0.941666666666667
"316128","Wilko Functional Glass Jug 1L","Wilko Functional","Jugs","Clear",NA,NA,"1L",0.883333333333333
