"Article","Web Description","Brand","Type","DQ Score"
"436510","Forest Garden Victorian Wall Green House","Forest Garden","Mini Greenhouses",1
"413531","Palram Balance Greenhouse Silver 8x12","Palram","Greenhouses",1
"413532","Palram Victory Orangery Greenhouse 12x10","Palram","Greenhouses",1
"413533","Palram Mythos Greenhouse Silver 6x4","Palram","Greenhouses",1
"413534","Palram Mythos Greenhouse Silver 6x6","Palram","Greenhouses",1
"413535","Palram Mythos Greenhouse Silver 6x8","Palram","Greenhouses",1
"413536","Palram Mythos  Greenhouse Silver 6x10","Palram","Greenhouses",1
"435718","Palram Aluminium Greenhouse Window Auto Vent Arm","Palram","Arms",1
"435721","Palram Greenhouse Side Louver Window","Palram","Side Louver",1
"pr00002","Palram Polycarbonate Greenhouse Green 6x6","Palram","Greenhouses",1
"pr00003","Palram Polycarbonate Greenhouse Green 6x8ft","Palram","Greenhouses",1
"pr00004","Palram Polycarbonate Greenhouse Green 6x10","Palram","Greenhouses",1
"pr00005","Palram Polycarbonate Greenhouse Aluminium 6x10","Palram","Greenhouses",1
"pr00008","Palram Polycarbonate Greenhouse Silver Effect 6x6","Palram","Greenhouses",1
"pr00009","Palram Polycarbonate Greenhouse Silver Effect 6x8","Palram","Greenhouses",1
"436274","Rowlinson Single Hardwood Coldframe","Rowlinson","Cold Frames",1
