"Article","Web Description","Brand","Type","Colour","Pack Qty","Washable","Size","Material","DQ Score"
"307652","Wilko Hand Towel Beige","Wilko","Hand Towels","Brown",NA,"Washable","50x90cm","100% Cotton",0.95
"307739","Wilko Hand Towel Deep Blue","Wilko","Hand Towels","Blue",NA,"Washable","50x90cm","100% Cotton",0.95
"307744","Wilko Hand Towel Aqua Blue","Wilko","Hand Towels","Blue",NA,"Washable","50x90cm","100% Cotton",0.95
"314965","Wilko Hand Towel Soft Cream","Wilko","Hand Towels","Cream",NA,"Washable","50x90cm","100% Cotton",0.95
"319302","Wilko Hand Towel Hessian","Wilko","Hand Towels","Brown",NA,"Washable","50x90cm","100% Cotton",0.95
"325597","Wilko Hand Towel Olive","Wilko","Hand Towels","Green",NA,"Washable","50x90cm","100% Cotton",0.95
"412089","Wilko Hand Towel Heather","Wilko","Hand Towels","Purple","1",NA,NA,"100% Cotton",0.9
"412113","Wilko Hand Towel Dark Teal","Wilko","Hand Towels",NA,"1",NA,NA,"100% Cotton",0.85
"412127","Wilko Hand Towel Coastal Blue","Wilko","Hand Towels","Blue","1",NA,NA,"100% Cotton",0.9
"423348","Wilko Hand Towel Hot Pink","Wilko","Hand Towels",NA,NA,NA,NA,NA,0.75
"423354","Wilko Hand Towel Chilli Red","Wilko","Hand Towels",NA,NA,NA,NA,NA,0.75
"423360","Wilko Hand Towel Inferno","Wilko","Hand Towels",NA,"1",NA,NA,NA,0.8
"427614","Wilko Best Hand Towel Duck Egg","Wilko","Hand Towels",NA,NA,NA,NA,NA,0.75
"427898","Wilko Sparkle Hand Towel Plum","Wilko","Hand Towels",NA,NA,NA,NA,NA,0.75
"307655","Wilko Best Hand Towel White","Wilko Best","Hand Towels","White",NA,"Washable","50x90cm","100% Cotton",0.95
"307645","Wilko Functional Hand Towel White","Wilko Functional","Hand Towels","White",NA,"Washable","50x77cm","100% Cotton",0.95
