"Article","Web Description","Brand","Type","Pack Qty","DQ Score"
"257753","Gold Stars Phonics Book Pre-School Ages 3-5 Years","Gold Stars","Study & Revision Books",NA,0.883333333333333
"257779","Gold Stars Starting Phonics Educational Workbook Pre-School Ages 3-5 Years","Gold Stars","Study & Revision Books",NA,0.883333333333333
"257782","Gold Stars Starting to Add Educational Workbook Pre-School Ages 3-5 Years","Gold Stars","Study & Revision Books",NA,0.883333333333333
"257783","Gold Stars Start to Count Educational Workbook Pre-School Ages 3-5 Years","Gold Stars","Study & Revision Books",NA,0.883333333333333
"257787","Gold Stars Key Stage 1 English Workbook Pack Ages5-6 Years","Gold Stars","Study & Revision Books",NA,0.883333333333333
"257796","Gold Stars Key Stage 1 Maths Workbook Pack Ages 5-6 Years","Gold Stars","Study & Revision Books",NA,0.883333333333333
"310476","Gold Stars Starting to Write/Count Assorted","Gold Stars","Study & Revision Books",NA,0.883333333333333
"317502","Gold Stars Starting Phonics Educational Book3-5yrs","Gold Stars","Study and Revision Books",NA,0.883333333333333
"317919","Gold Stars Key Stage 2 Bumper Workbook Ages 7-9 Years","Gold Stars","Study & Revision Books",NA,0.883333333333333
"336901","Gold Stars Key Stage 1 Ready for School Big Workbook Ages 5-6yrs","Gold Stars","Activity Book",NA,0.883333333333333
"346773","Gold Stars Key Stage 2 EnglishWorkbook Ages 7-9 Years","Gold Stars","Study & Revision Books",NA,0.883333333333333
"346775","Gold Stars Key Stage 2 EnglishWorkbook Ages 9-11 Years","Gold Stars","Study & Revision Books",NA,0.883333333333333
"346776","Gold Stars Key Stage 2 MathsWorkbook Ages 9-11 Years","Gold Stars","Study & Revision Books",NA,0.883333333333333
"411713","Tiny Tots Flash Cards ABC and 123 Assorted","Igloo","Early Learning",NA,0.833333333333333
