"Article","Web Description","Brand","DQ Score"
"346677","Disney Character Carry Pack Activity Book Assorted","Copywrite Designs",0.6
"411375","Sticker Pads Assorted","Copywrite Designs",0.6
"411376","Busy Pack Assorted","Copywrite Designs",0.6
"405985","Marvel Avengers Assemble 1000 Sticker Book","Disney",0.6
"336067","Fairy Sticker and Activity Fun Book","Igloo",0.6
"346786","Assorted Sticker and Activity Book","Igloo",0.6
"346791","Sticker Scenes Fun Activity Book Assorted","Igloo",0.6
"408583","My First Sticker Fun and Activity Book Assorted","Igloo",0.6
"411697","Joke Tastic Assorted","Igloo",0.6
"296539","Disney Character Carry Along Colouring Set Assorted","Other",0.6
"296542","Character Carry Along Colouring Set Assorted","Other",0.6
"433080","Fridge Art Assorted","Wilko",0.6
