"Article","Web Description","Brand","Type","Coverage","Colour","Pack Qty","Size","DQ Score"
"231065","Dulux Matt Emulsion PaintPure Brilliant White 2.5L","Dulux","Kitchen Paint","32m²","White","1","2.5l",1
"190871","Wilko Emulsion Paint Tester Pot Tinsel Town 75ml","Wilko","Paint Tester Pot","30cm²","Red","1","75ml",1
"238102","Wilko Bathroom Mid Sheen Emulsion PaintSoft Cream 2.5L","Wilko","Bathroom Paint","30m²","Cream","1","2.5L",1
"238103","Wilko Bathroom Mid Sheen Emulsion PaintCoastline 2.5L","Wilko","Bathroom Paint","30m²","Cream","1","2.5L",1
"238141","Wilko Kitchen Matt Emulsion PaintPure Brilliant White 2.5L","Wilko","Kitchen Paint","30m²","White","1","2.5L",1
"262426","Wilko Emulsion Paint Tester Pot Spa 75ml","Wilko","Paint Tester Pot","30cm²","Green","1","75ml",1
"297381","Wilko Kitchen Matt Emulsion PaintPearl Grey 2.5L","Wilko","Kitchen Paint","30m²","Grey","1","2.5L",1
"309367","Wilko Kitchen Matt Emulsion PaintMineral Stone 2.5L","Wilko","Kitchen Paint","30m²","Cream","1","2.5L",1
"407526","Wilko Kitchen Matt Emulsion PaintCornish Ice Cream 2.5L","Wilko","Kitchen Paint","approx 30 sq. metres","Cream","1","2.5L",1
"407528","Wilko Bathroom Mid Sheen Emulsion PaintSoft Hessian 2.5L","Wilko","Bathroom Paint","approx 30 sq. metres","Cream","1","2.5L",1
"407529","Wilko Bathroom Mid Sheen Emulsion PaintBali 2.5L","Wilko","Bathroom Paint","approx 30 sq. metres","Green","1","2.5L",1
"407530","Wilko Bathroom Mid Sheen Emulsion PaintCosy Grey 2.5L","Wilko","Bathroom Paint","approx 30 sq. metres","Grey","1","2.5L",1
"407531","Wilko Bathroom Mid Sheen Emulsion PaintZesty 2.5L","Wilko","Bathroom Paint","approx 30 sq. metres","Green","1","2.5L",1
"412486","Wilko Kitchen Matt Emulsion PaintWhispering Sage 2.5L","Wilko","Kitchen Paint","approx 30 sq. metres","Green","1","2.5L",1
