"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Size","DQ Score"
"36854","Wilko Kitchen Baster Acrylic","Chef Aid","Baster","Clear",NA,NA,"Single",0.833333333333333
"434038","Sabatier Chef Knife 8in","Sabatier","Knives",NA,NA,NA,NA,0.766666666666667
"434039","Sabatier Bread Knife 8in","Sabatier","Knives",NA,NA,NA,NA,0.766666666666667
"434040","Sabatier Santoku Knife 6in","Sabatier","Knives",NA,NA,NA,NA,0.766666666666667
"434041","Sabatier Cleaver Knife 6in","Sabatier","Knives",NA,NA,NA,NA,0.766666666666667
"434042","Sabatier Utility Knife 4.5in","Sabatier","Knives",NA,NA,NA,NA,0.766666666666667
"434043","Sabatier Paring Knife 3.5in","Sabatier","Knives",NA,NA,NA,NA,0.766666666666667
"444785","Tower Spudnik Spiralizer","Tower","Spiralizer","Green",NA,"1","15.5 X 20.5 X 25.5cm",0.941666666666667
"448440","Tower Electric Knife Sharpener T19008","Tower","Knife Sharpener","Black","60W","1",NA,0.941666666666667
"112512","Wilko Kitchen Poachette Ring 2pk","Wilko","Poachette Rings","Grey",NA,"1","Set",0.941666666666667
"120656","Wilko Colander Stainless Steel","Wilko","Colander and Sieves",NA,NA,NA,"Large",0.825
"139888","Wilko Can Opener","Wilko","Can Opener",NA,NA,NA,"Single",0.825
"140141","Wilko Skewers Metal 4pk","Wilko","Skewers",NA,NA,"1","4 Pack",0.883333333333333
"140809","Wilko Corn on the Cob Forks 4pk","Wilko","Corn Forks","Yellow",NA,"3pk",NA,0.883333333333333
"164126","Wilko Knife Sharpener Stainless Steel 20.5cm","Wilko","Peeling and Chopping",NA,NA,NA,"20.5cm",0.825
"188598","Wilko Kitchen Shears","Wilko","Shears",NA,NA,"1",NA,0.825
"188600","Wilko Digital Timer","Wilko","Thermometer and Timer",NA,NA,"1",NA,0.825
"190343","Wilko Kiddy Catch Small Plastic","Wilko","Door Catches",NA,NA,NA,"Small",0.825
"222196","Wilko Stainless Steel Salad Tongs","Wilko","Serving Tongs","Silver",NA,"1","Large",0.941666666666667
"222255","Wilko Fridge and Freezer Thermometer","Wilko","Thermometer and Timer","Clear",NA,"1","15x2cm",0.941666666666667
"232675","Wilko Geared Can Opener","Wilko","Can Opener","Red",NA,"1",NA,0.883333333333333
"232678","Wilko Vertical Peeler","Wilko","Peeling and Chopping","Multi",NA,"1",NA,0.883333333333333
"237478","Wilko Kitchen Flat Exhaust Cooker Hood Filter 1mm2pk","Wilko","Cooker Filter","Silver",NA,"1","2 Pack",0.941666666666667
"262783","Wilko Apple Corer","Wilko","Peeling and Chopping","Green",NA,"1",NA,0.883333333333333
"262784","Wilko Pestle and Mortar Natural Granite","Wilko","Pestle and Mortar","Grey",NA,"1",NA,0.883333333333333
"284774","Wilko Traditional Ice Cream Scoop Stainless Steel","Wilko","Ice Cream Scoops","Silver",NA,"1",NA,0.883333333333333
"284881","Wilko Grater Box 6 Sides","Wilko","Graters","Cream",NA,"1",NA,0.883333333333333
"304464","Wilko Knifeholder Magnetic 30cm","Wilko","Utensil Holder","Black",NA,"1","30cm",0.941666666666667
"317397","Wilko Hanging Rack","Wilko","Utensil Holder","Pink",NA,"1",NA,0.883333333333333
"317529","Wilko Ice Cube Tray","Wilko","Ice Cube Tray","Multi",NA,"1","12 Shapes",0.941666666666667
