"Article","Web Description","Brand","Type","Power","Pack Qty","Size","DQ Score"
"434807","TCP Vintage LED Bulb Filament Candle 4W SES","TCP","Vintage LED",NA,"1","4W",0.93
"434808","TCP Vintage LED Bulb Filament Candle 4W BC","TCP","Vintage LED",NA,"1","4W",0.93
"456827","TCP Vintage LED Bulb Filament ST64 4W B22","TCP","LED",NA,"1","4W",0.93
"456828","TCP Vintage LED Bulb Filament ST64 4W E27","TCP","LED",NA,"1","4W",0.93
"456829","TCP Vintage LED Bulb Filament Classic 4W B22","TCP","LED",NA,"1","4W",0.93
"456830","TCP Vintage LED Bulb Filament Classic 4W E27","TCP","LED",NA,"1","4W",0.93
"456831","TCP Vintage LED Bulb Filament Diamond 4W B22","TCP","LED",NA,"1","4W",0.93
"456832","TCP Vintage LED Bulb Filament Diamond 4W E27","TCP","LED",NA,"1","4W",0.93
"456868","Wilko LED Bulb Filament Soft Tone 7W BC White","TCP","LED",NA,"1","7W",0.88
"456869","Wilko LED Bulb Filament Soft Tone 7W ES White","TCP","LED",NA,"1","7W",0.88
"456870","Wilko LED Bulb Filament Soft Tone 7W BC Peach","TCP","LED",NA,"1","7W",0.88
"456871","Wilko LED Bulb Filament Soft Tone 7W ES Peach","TCP","LED",NA,"1","7W",0.88
"456872","Wilko LED Bulb Filament Candle Soft Light 4W BCWhite","TCP","LED",NA,"1","4W",0.88
"456873","Wilko LED Bulb Filament Candle Soft Light 4W SESWhite","TCP","LED",NA,"1","4W",0.88
"456874","Wilko LED Bulb Filament Candle Soft Light 4W BCPeach","TCP","LED",NA,"1","4W",0.88
"456875","Wilko LED Bulb Filament Candle Soft Light 4W SESPeach","TCP","LED",NA,"1","4W",0.88
"456876","Wilko LED Bulb Filament Globe Soft Light 4W BCWhite","TCP","LED",NA,"1","4W",0.88
"456877","Wilko LED Bulb Filament Globe Soft Light 4W SESWhite","TCP","LED",NA,"1","4W",0.88
"456878","Wilko LED Bulb Filament Globe Soft Light 4W BCPeach","TCP","LED",NA,"1","4W",0.88
"456879","Wilko LED Bulb Filament Globe Soft Light 4W SESPeach","TCP","LED",NA,"1","4W",0.88
"437662","Wilko LED Bulb GU10 5W Silver Dimmable 1pk","Wilko","LED",NA,"1","5W",0.93
"437663","Wilko LED Bulb GU10 4W Dimmable 1pk","Wilko","LED",NA,"1","4W",0.93
"437664","Wilko LED Spotlight Bulb GU10 4W, works withDimmer Switch 3pk","Wilko","LED",NA,"3","4W",0.93
"437665","Wilko LED Spotlight Bulb GU10 5W, works withDimmer Switch 3pk","Wilko","LED",NA,"3","5W",0.93
"437666","Wilko LED Daylight Spotlight Bulb GU10 5W 3pkworks with Dimmer Switch","Wilko","LED",NA,"3","5W",0.93
"437668","Wilko LED Capsule G9 3W 2pk","Wilko","LED",NA,"2","3W",0.93
"437669","Wilko LED Capsule G4 2.5W 2pk","Wilko","LED",NA,"2","2.5W",0.93
"437670","Wilko LED Bulb GU4 Single Blister Silver","Wilko","LED",NA,"1","2W",0.93
"437671","Wilko LED Bulb GU5 5W None Dimmable 1pk","Wilko","LED",NA,"1","5W",0.93
"437672","Wilko LED Bulb GU5 5W  Silver None Dimmable 1pk","Wilko","LED",NA,"3pk","5W",0.93
"437673","Wilko LED Bulb GLS 10W BC Daylight Dimmable 1pk","Wilko","LED",NA,"1","10W",0.93
"437674","Wilko LED Bulb GLS 10W ES Daylight Dimmable 1pk","Wilko","LED",NA,"1","10W",0.93
"437675","Wilko LED Bulb GLS 15W BC Dimmable 1pk","Wilko","LED",NA,"1","15W",0.93
"437676","Wilko LED Bulb GLS 15W ES Dimmable 1pk","Wilko","LED",NA,"1","15W",0.93
"437679","Wilko LED Bulb Candle BC 6W Dimmable Daylight","Wilko","LED",NA,"1","6W",0.93
"437680","Wilko LED Bulb Candle Opal SES Daylight 6W 1pk","Wilko","LED",NA,"1","6W",0.93
"437681","Wilko LED Spotlight Bulb  R50 5W SES 1pk","Wilko","LED",NA,"1","5W",0.93
"437682","Wilko LED Spotlight Bulb R50 5W SES 3pk","Wilko","LED",NA,"3","5W",0.93
"437683","Wilko LED Spotlight Bulb R63 6W ES White 1pk","Wilko","LED",NA,"1","6W",0.93
"437684","Wilko LED Spotlight Bulb R80 ES 10W 1pk","Wilko","LED",NA,"1","10W",0.93
"437689","Wilko LED Glass Bulb GU10 5W 1pk","Wilko","LED",NA,"1","5W",0.93
"437690","Wilko LED Bulb GLS 6W BC Dimmable 1pk","Wilko","LED",NA,"1","6W",0.93
"437691","Wilko LED Bulb GLS 6W ES Dimmable 1pk","Wilko","LED",NA,"1","6W",0.93
"437692","Wilko LED Bulb GLS 10W BC Dimmable 1pk","Wilko","LED",NA,"1","10W",0.93
"437693","Wilko LED Bulb GLS 10W ES Dimmable 1pk","Wilko","LED",NA,"1","10W",0.93
"437696","Wilko LED Bulb Candle Opal BC Cap 6W Dimmable","Wilko","LED",NA,"1","6W",0.93
"437697","Wilko LED Bulb Candle Opal SES Cap 6W Dimmable","Wilko","LED",NA,"1","6W",0.93
"438229","Wilko LED Strip Light 221mm 5W","Wilko","Strip Light",NA,"1","5W",0.93
"438230","Wilko LED Strip Light 284mm 5W","Wilko","Strip Light",NA,"1","5W",0.93
"456807","Wilko LED Bulb Candle Coated BC 5W Dimmable 2pk","Wilko","LED",NA,"2","5W",0.93
"456808","Wilko LED Bulb Candle Coated SES 5W Dimmable 2pk","Wilko","LED",NA,"2","5W",0.93
"456809","Wilko LED Bulb Round Coated BC 5W Dimmable 2pk","Wilko","LED",NA,"2","5W",0.93
"456810","Wilko LED Bulb Round Coated SES 5W Dimmable 2pk","Wilko","LED",NA,"2","5W",0.93
"456811","Wilko LED Bulb Round Coated BC 6W Dimmable","Wilko","LED",NA,"1","6W",0.93
"456812","Wilko LED Bulb Round Coated ES 6W Dimmable","Wilko","LED",NA,"1","6W",0.93
"456813","Wilko LED Bulb Round Coated SES Cap 6W Dimmable 1pk","Wilko","LED",NA,"1","6W",0.93
"456814","Wilko LED Bulb GU10 4W Dimmable White 3pk","Wilko","LED Spotlight",NA,"3","4W",0.93
"456815","Wilko LED Bulb GU10 5W Daylight Silver","Wilko","LED Spotlight",NA,"1","5W",0.93
"456816","Wilko LED Bulb GU10 5W Dimmable White 3pk","Wilko","LED Spotlight",NA,"3","5W",0.93
"456817","Wilko LED Bulb GLS 15W B22 Dimmable Daylight","Wilko","LED",NA,"1","15W",0.93
"456818","Wilko LED Bulb Round 5W BC Daylight 2pk","Wilko","LED",NA,"2","5W",0.93
"456819","Wilko LED Bulb Round 5W SES Daylight 2pk","Wilko","LED",NA,"2","5W",0.93
"456820","Wilko LED Bulb Round 5W ES Daylight","Wilko","LED",NA,"1","5W",0.93
"456841","Wilko LED Bulb Filament Classic Frost BC 7W","Wilko","LED",NA,"1","7W",0.93
"456842","Wilko LED Bulb Filament Classic Frost ES 7W","Wilko","LED",NA,"1","7W",0.93
"456843","Wilko LED Bulb Filament Classic Clear BC 7W","Wilko","LED",NA,"1","7W",0.93
"456844","Wilko LED Bulb Filament Classic ES 7W Clear","Wilko","LED",NA,"1","7W",0.93
"456845","Wilko LED Bulb Filament Classic Day BC 7W","Wilko","LED",NA,"1","7W",0.93
"456846","Wilko LED Bulb Filament Classic ES 7W Daylight","Wilko","LED",NA,"1","7W",0.93
"456847","Wilko LED Bulb Filament Candle BC 4W Clear","Wilko","LED",NA,"1","4W",0.93
"456848","Wilko LED Bulb Filament Candle SES 4W Clear","Wilko","LED",NA,"1","4W",0.93
"456849","Wilko LED Bulb Filament Candle BC 4W Frosted","Wilko","LED",NA,"1","4W",0.93
"456850","Wilko LED Bulb Filament Candle SES 4W Frosted","Wilko","LED",NA,"1","4W",0.93
"456851","Wilko LED Bulb Filament Candle BC 4W Daylight","Wilko","LED",NA,"1","4W",0.93
"456852","Wilko LED Bulb Filament Candle SES 4W Daylight","Wilko","LED",NA,"1","4W",0.93
"456853","Wilko LED Bulb Filament Round Frosted BC 4W","Wilko","LED",NA,"1","4W",0.93
"456854","Wilko LED Bulb Filament Round Frosted SES 4W","Wilko","LED",NA,"1","4W",0.93
"456855","Wilko LED Bulb Filament Round Frosted ES 4W","Wilko","LED",NA,"1","4W",0.93
"456856","Wilko LED Bulb Filament Round Clear BC 4W","Wilko","LED",NA,"1","4W",0.93
"456858","Wilko LED Bulb Filament Round BC 4W Daylight","Wilko","LED",NA,"1","4W",0.93
"456859","Wilko LED Bulb Filament Round SES 4W Daylight","Wilko","LED",NA,"1","4W",0.93
"456880","Wilko LED Bulb Filament R50 3W","Wilko","LED",NA,"1","3W",0.93
"456881","Wilko LED Bulb Filament R63 4W","Wilko","LED",NA,"1","4W",0.93
