"Article","Web Description","Brand","DQ Score"
"a100007","Keswick Mattress Rolled Single","Airsprung",0.9
"a100008","Keswick Mattress Rolled Double","Airsprung",0.9
"a100088","Comfort Express Rolled Mattress Single","Airsprung",0.95
"a100089","Comfort Express Rolled Mattress Double","Airsprung",0.9
"a200001","York Mattress Medium Firm Single","Airsprung",0.9
"a200002","York Mattress Medium Firm Double","Airsprung",0.9
"a200003","York Mattress Medium Firm Kingsize","Airsprung",0.9
"a200004","Henley Trizone Deluxe Mattress Single","Airsprung",0.9
"a200005","Henley Trizone Deluxe Mattress Double","Airsprung",0.9
"a200069","Blythe Memory Foam No Turn Mattress Double","Airsprung",0.841666666666667
