"Article","Web Description","Brand","Type","Colour","Pack Qty","DQ Score"
"286418","Maybelline Color Sensational Lipstick 842Rosewood Pearl","Maybelline","Lipstick","Red","1",1
"295913","Maybelline Dream Satin Liquid Foundation 60Caramel 30ml","Maybelline","Liquid Foundation","Brown","1",1
"296759","Maybelline Color Sensational Lipstick 150 StellarPink","Maybelline","Lipstick","Pink","1",1
"296761","Maybelline Color Sensational Lipstick 338Midnight Plum","Maybelline","Lipstick","Purple","1",1
"296844","Maybelline Dream Matte Mousse Foundation SPF 1504 Light Porcelain","Maybelline","Liquid Foundation","Cream","1",1
"296846","Maybelline Dream Matte Mousse Foundation SPF 1510 Ivory","Maybelline","Liquid Foundation","Cream","1",1
"297411","Maybelline Master Drama Khol Eyeliner Ultra Black","Maybelline","Eye Liner","Black","1",1
"302598","Maybelline Lasting Drama Gel Eyeliner 01 Black","Maybelline","Eye Liner","Black","1",1
"302602","Maybelline Dream Lumi Touch Concealer 02 Nude","Maybelline","Concealer","Brown","1",1
"302603","Maybelline Dream Lumi Touch Concealer 03 Sand","Maybelline","Concealer","Brown","1",1
"302604","Maybelline SuperStay 24hr Dual Ended LipstickDelicious Pink","Maybelline","Lipstick","Pink","1",1
"302605","Maybelline SuperStay 24hr Dual Ended LipstickRose Dust","Maybelline","Lipstick","Red","1",1
"302606","Maybelline SuperStay 24hr Dual Ended LipstickRaspberry","Maybelline","Lipstick","Red","1",1
"302607","Maybelline SuperStay 24hr Dual Ended LipstickPlum Seduction","Maybelline","Lipstick","Purple","1",1
"302610","Maybelline SuperStay 24hr Dual Ended LipstickAbsolute Plum","Maybelline","Lipstick","Purple","1",1
"302612","Maybelline SuperStay 24hr Dual Ended Lipstick 510Red Passion","Maybelline","Lipstick","Red","1",1
"302616","Maybelline SuperStay 24hr Dual Ended LipstickSoft Taupe","Maybelline","Lipstick","Blue","1",1
"321044","Maybelline Color Tattoo 24hr Cream Eyeshadow 05Eternal Gold","Maybelline","Eye Shadow","Gold","1",1
"321045","Maybelline Color Tattoo 24hr Cream Eyeshadow 35On and On Bronze","Maybelline","Eye Shadow","Metal","1",1
"329667","Maybelline Fit Me! Concealer 10 Light","Maybelline","Concealer","Brown","1",1
"329669","Maybelline Fit Me! Concealer 20 Sand","Maybelline","Concealer","Brown","1",1
"432112","Maybelline The Falsies Push Up Drama Mascara VeryBlack","Maybelline","Mascara","Black","1",1
"432113","Maybelline The Blushed Nudes Eyeshadow Palette","Maybelline","Eye Shadow","Multi","1",1
"432120","Maybelline Color Sensational Blushed NudesLipstick 107 Fairly Bare","Maybelline","Lipstick","Cream","1",1
"432121","Maybelline Color Sensational Blushed Nudes Lipstic117 Tip Top Tulle","Maybelline","Lipstick","Purple","1",1
"432122","Maybelline Color Sensational Blushed NudesLipstick 157 More to Adore","Maybelline","Lipstick","Pink","1",1
"432123","Maybelline Color Sensational Blushed NudesLipstick 207 Pink Fling","Maybelline","Lipstick","Pink","1",1
"432124","Maybelline Volum' Express Lash SensationalMascara 02 Brown","Maybelline","Mascara","Brown","1",1
"432127","Maybelline SuperStay 24hr Dual Ended Lipstick 620In The Nude","Maybelline","Lipstick","Orange","1",1
"432130","Maybelline SuperStay 24hr Dual Ended Lipstick 130Pinking Of You","Maybelline","Lipstick","Pink","1",1
"432141","Maybelline Brow Drama Eyebrow Crayon 2 MediumBrown","Maybelline","Brows","Brown","1",1
"432142","Maybelline Brow Drama Eyebrow Crayon 4 Dark Brown","Maybelline","Brows","Brown","1",1
"432147","Maybelline Baby Lips Lip Balm and Blush InnocentPeach","Maybelline","Lip Balm","Orange","1",1
"432148","Maybelline Baby Lips Lip Balm and Blush FlirtyPink","Maybelline","Lip Balm","Pink","1",1
"432149","Maybelline Baby Lips Lip Balm and Blush BoomingRuby","Maybelline","Lip Balm","Red","1",1
"432152","Maybelline The Nudes Eyeshadow Palette","Maybelline","Eye Shadow","Multi","1",1
"432154","Maybelline Color Sensational Matte Lipstick 930Nude Embrace","Maybelline","Lipstick","Orange","1",1
