"Article","Web Description","Brand","DQ Score"
"448033","Marbella Large Mirror White","Other",0.88
"448035","Marbella Small Mirror White","Other",0.88
"448050","Cadiz Large Mirror White","Other",0.88
"448052","Cadiz Small Mirror White","Other",0.88
"448068","Altea Large Mirror White","Other",0.88
"448070","Altea Small Mirror White","Other",0.88
"448086","Javea Large Mirror Grey","Other",0.88
"448104","Valencia Large Mirror Cream","Other",0.88
"448106","Valencia Small Mirror Cream","Other",0.88
"440471","Regal Cheval Mirror Antique Pine","Seconique",0.88
"440472","Regal Cheval Mirror White","Seconique",0.88
"440473","Regal Dressing Table Mirror White","Seconique",0.88
