"Article","Web Description","Brand","DQ Score"
"421926","Seattle Eyelet Lined Curtains Natural 122 x 183cm","Global",0.8
"421929","Seattle Eyelet Lined Curtains Natural 173 x 183cm","Global",0.8
"421930","Seattle Eyelet Lined Curtains Natural 173 x 228cm","Global",0.8
"421932","Seattle Eyelet Lined Curtains Natural 228 x 228cm","Global",0.8
"422105","Leaves Eyelet Lined Curtains Taupe 122 x 137cm","Global",0.85
"422106","Leaves Eyelet Lined Curtains Taupe 122 x 183cm","Global",0.85
"422108","Leaves Eyelet Lined Curtains Taupe 173 x 137cm","Global",0.85
"422109","Leaves Eyelet Lined Curtains Taupe 173 x 183cm","Global",0.85
"422110","Leaves Eyelet Lined Curtains Taupe 173 x 228cm","Global",0.85
"422112","Leaves Eyelet Lined Curtains Taupe 228 x 228cm","Global",0.85
