"Article","Web Description","Brand","Type","Coverage","Colour","Washable","Size","Material","DQ Score"
"421926","Seattle Eyelet Lined Curtains Natural 122 x 183cm","Global","Eyelet Curtains and Voiles","Window",NA,NA,"Curtains 2 pieces each 46x72''","100% Polyester",0.8
"421929","Seattle Eyelet Lined Curtains Natural 173 x 183cm","Global","Eyelet Curtains and Voiles","Window",NA,NA,"Curtains 2 pieces each 66x72''","100% Polyester",0.8
"421930","Seattle Eyelet Lined Curtains Natural 173 x 228cm","Global","Eyelet Curtains and Voiles","Window",NA,NA,"Curtains 2 pieces each 66x90''","100% Polyester",0.8
"421932","Seattle Eyelet Lined Curtains Natural 228 x 228cm","Global","Eyelet Curtains and Voiles","Window",NA,NA,"Curtains 2 pieces each 90x90''","100% Polyester",0.8
"422105","Leaves Eyelet Lined Curtains Taupe 122 x 137cm","Global","Eyelet Curtains and Voiles",NA,"Brown","Wash at 40","46 x 54in",NA,0.85
"422106","Leaves Eyelet Lined Curtains Taupe 122 x 183cm","Global","Eyelet Curtains and Voiles",NA,"Brown","Wash at 40",NA,"100% Cotton ½ Panama with 50/50 Polycotton Lining",0.85
"422108","Leaves Eyelet Lined Curtains Taupe 173 x 137cm","Global","Eyelet Curtains and Voiles",NA,"Brown","Wash at 40",NA,"100% Cotton ½ Panama with 50/50 Polycotton Lining",0.85
"422109","Leaves Eyelet Lined Curtains Taupe 173 x 183cm","Global","Eyelet Curtains and Voiles",NA,"Brown","Wash at 40",NA,"100% Cotton ½ Panama with 50/50 Polycotton Lining",0.85
"422110","Leaves Eyelet Lined Curtains Taupe 173 x 228cm","Global","Eyelet Curtains and Voiles",NA,"Brown","Wash at 40",NA,"100% Cotton ½ Panama with 50/50 Polycotton Lining",0.85
"422112","Leaves Eyelet Lined Curtains Taupe 228 x 228cm","Global","Eyelet Curtains and Voiles",NA,"Brown","Wash at 40",NA,"100% Cotton ½ Panama with 50/50 Polycotton Lining",0.85
