"Article","Web Description","Brand","Type","Coverage","Colour","Pack Qty","Size","Material","DQ Score"
"425083","Arthouse Wallpaper Rustic Brick","Arthouse","Brick Effect Wallpaper","5.33m²",NA,"1","10m x 0.53m",NA,0.9
"436328","Arthouse Wallpaper Fern Motif Silver","Arthouse","Leaf Print Wallpaper","5.33m²","Silver","1","10m x 0.53m",NA,0.95
"436349","Arthouse Olivia Wallpaper Pink/Teal","Arthouse","Floral Wallpaper","5.33m²","Multi","1","10m x 0.53m",NA,0.95
"436352","Arthouse Wallpaper Moroccan Wall","Arthouse","Brick Effect Wallpaper","5.33m²","Cream","1","10m x 0.53m",NA,0.95
"438128","Arthouse Wallpaper Felicity Natural","Arthouse","Motif Wallpaper","5.33m²","Cream","1","10m x 0.53m",NA,0.95
"438159","Arthouse Wallpaper Mitzu White","Arthouse","Floral Wallpaper","5.33m²","White","1","10m x 0.53m",NA,0.95
"438191","Arthouse Wallpaper Cream Wave","Arthouse","Striped Wallpaper","5.33m²","Cream","1","10m x 0.53m",NA,0.95
"438194","Arthouse Wallpaper Wave White","Arthouse","Plain and Textured Wallpaper","5.33m²","White","1","10m x 0.53m",NA,0.95
"438210","Arthouse Wallpaper Brasillia Grey","Arthouse","Geometric Wallpaper","5.33m²","Grey","1","10m x 0.53m",NA,0.95
"438218","Arthouse Wallpaper Copacobana Gold","Arthouse","Floral Wallpaper","5.33m²","Gold","1","10m x 0.53m",NA,0.95
"424159","Superfresco Colours Wallpaper Ariadne Beige/Gold","Superfresco","Striped Wallpaper","5.2m²",NA,"1","10m x 0.52m","Paper",0.95
