"Article","Web Description","DQ Score"
"431999","Nu Era Bright A4 Notebook",1
"432000","Nu Era Bright A5 Notebook",1
"432001","Nu Era Bright A4 Study Book",1
"432002","Nu Era Bright A5 Study Book",1
"431964","Nu Elite Prestige A7 PU Notebook",1
"431968","Nu Elite Prestige A5 Wiro Journal",1
"431970","Nu Elite Prestige A6 Wiro Journal",1
"431979","Nu Elite A5 Wiro Kraft Notebook",1
"431980","Nu Elite Kraft A6 Gluebound Notebook",1
"432016","Silvine Exercise Book 120 Pages",1
"432017","Silvine A4 Exercise Book 120 Pages",1
"432022","Silvine A4 Perfecto Notebook 160 Pages",1
"432024","Silvine A5 Perfecto Notebook 160 Pages",1
"432030","Silvine Record Cards Multi Colour 6 x 4in 100pk",1
"432031","Silvine Record Cards White 6 x 4in 100pk",1
"432035","Silvine A4 Wirebound PP Cover Notebook",1
"432036","Silvine A5 Wirebound PP Cover Notebook",1
"432037","Silvine A6 Wirebound PP Cover Notebook",1
"434314","Silvine Cash Book 72 Pages",1
"130278","Wilko Raffle and Cloakroom Tickets 1-1000",1
"261628","Wilko Reporters Notebook 150 Sheets 80GSM",1
"262257","Wilko Wiro Notebook A4 lined 100 Sheets 80GSM",1
"262258","Wilko Wirobound Notebook A4 lined 100 Sheets 80GSM",1
"262803","Wilko Wiro Notebook A4 80 Sheets 80GSM",1
"317374","Wilko Shopping List Lined 100 Sheets 70GSM",1
"317393","Wilko Wiro Notebook A5 Ruled 80 Sheets 80GSM",1
"317395","Wilko Notebook A7 80 Sheets 80GSM",1
"319418","Wilko Notebook A5 Ruled 100 Sheets 80GSM",1
"348684","Wilko Scrapbook A3 60 Sheets 120GSM",1
"348725","Wilko Notebook PP Cover Pink A7",1
"348726","Wilko Notebook PP Cover Pink A6",1
"348727","Wilko Notebook PP Cover Blue A7",1
"348728","Wilko Notebook PP Cover Blue A6",1
"348729","Wilko Project Book Lined A5",1
"416975","Wilko A5 PU Journal Square Paper",1
"416976","Wilko A5 PU Journal Plain Paper",1
"420969","Wilko Notebook A7 Assorted",1
"427352","Wilko I Like Cats Revision Notes",1
"427361","Wilko I Like Cats A7 Notebooks",1
"427366","Wilko I Like Cats B5 Stapled Notebook",1
"427384","Wilko I Like Cats 2 Part Notebook",1
"427388","Wilko I Like Cats A5 Notebooks",1
"427390","Wilko I Like Cats A4 Project Book",1
"427391","Wilko I Like Cats A4 Notebook",1
"432059","Wilko A7 Vibrant Glitter Notebook",1
"432501","Wilko A5 Metallic Notebook",1
"432502","Wilko A6 Metallic Notebook",1
"432503","Wilko A5 Pastel Casebound Notebook",1
"432504","Wilko A6 Pastel Casebound Notebook",1
"432505","Wilko A7 Pastel Casebound Notebook",1
"432508","Wilko A5 Chunky Map Wiro Notebook",1
"432509","Wilko Refill Pad A4 80GSM",1
"432510","Wilko Colour Refill Pad A4",1
"432620","Wilko Black Scrapbook 25 Sheets",1
"432622","Wilko Address Book A6 Black",1
"433038","Wilko Let's Create Doodle Pad A5 40 Sheets 80GSM",1
"433039","Wilko Let's Create Doodle Pad A4 40 Sheets 80GSM",1
"439332","Wilko Space A7 Top Bound Notebook",1
"439920","Wilko Notebook A4 Hard Back Wiro Lime",1
"439922","Wilko Notebook A5 Hard Back Wiro Lime",1
"439923","Wilko Notebook A4 Wiro Pp Cover Lime",1
"439925","Wilko Notebook A5 Wiro Pp Cover Lime",1
"94600","Wilko Refill Pad A4 Plain 80 Sheets 70GSM",1
"94601","Wilko Sketch Pad A4 30 Sheets",1
"240102","Wilko Functional Reporters Notebook 60 Sheets",1
"432511","Wilko Functional Refill Pad 60GSM",1
"433205","Wilko Functional A5 Notebook",1
