"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"348714","Pukka Half Tone Project Book Lined C B","Pukka Pad","Project Books",NA,"A4",0.8625
"348716","Pukka Pad Half Tone Pad A4 Coral Blue","Pukka Pad","Notebooks",NA,"A4",0.9125
"348718","Pukka Refill Lined Pad 160 pages A4 C B","Pukka Pad","Refill Pads",NA,"A4",0.8625
"254903","Wilko Project Book with Dividers A4 80gsm 100 Sheets","Wilko","Project Books",NA,"A4",0.9125
"261633","Wilko Squared Paper A4 50 Sheets 80GSM","Wilko","Refill Pads",NA,"A4",0.9125
"262259","Wilko Wiro Notebook Hardback A5 100 Sheets 80GSM","Wilko","Notebooks",NA,"A5",0.9125
"262260","Wilko Wiro Notebook Hardback A5 100 Sheets 80GSM","Wilko","Notebooks",NA,"A5",0.9125
"262463","Wilko Things To Do Today Pad 115 Sheets 70GSM","Wilko","Journals, Planners and Organisers","1",NA,0.9125
"262840","Wilko Wiro Notebook A5 Ruled 80 Sheets 80GSM","Wilko","Notebooks",NA,"A5",0.9125
"262842","Wilko Wiro Notebook A6 Ruled 80 Sheets 80GSM","Wilko","Notebooks",NA,"A6",0.9125
"300216","Wilko Writing Pad Lined White 100 Sheets 80GSM","Wilko","Refill Pads","1",NA,0.9125
"300217","Wilko Writing Pad Plain White 100 Sheets 80GSM","Wilko","Refill Pads",NA,"100 Sheets",0.9125
"317365","Wilko Wiro Notebook A5 Ruled 80 Sheets 80GSM","Wilko","Notebooks",NA,"A5",0.9125
"317372","Wilko Ring Bound Index Cards 100 Sheets","Wilko","Record and Index Cards","1",NA,0.9125
"317392","Wilko Wiro Notebook A4 lined 80 Sheets 80GSM","Wilko","Notebooks",NA,"A4",0.9125
"318092","Wilko Wiro Notebook A4 Ruled 80 Sheets 80GSM","Wilko","Notebooks",NA,"A4",0.9125
"318096","Wilko Notebook A5 Ruled 100 Sheets 80GSM","Wilko","Notebooks",NA,"A5",0.9125
"318097","Wilko Notebook A6","Wilko","Notebooks",NA,"A6",0.9125
"319417","Wilko Notebook A4 lined 100 Sheets 80GSM","Wilko","Notebooks",NA,"A4",0.9125
"348710","Wilko Refill Pad A4 Narrow Ruled 80 Sheets 70GSM","Wilko","Refill Pads",NA,"A4",0.9125
"348711","Wilko Graph Pad A4 50 Sheets 80GSM","Wilko","Refill Pads",NA,"A4",0.9125
"413212","Wilko Magnetic Diet Planner 52 Sheets","Wilko","Journals, Planners and Organisers","1",NA,0.9125
"413216","Wilko Magnetic Shopping List","Wilko","Journals, Planners and Organisers","1",NA,0.9125
"413218","Wilko Magnetic Weekly Planner 52 Sheets","Wilko","Journals, Planners and Organisers","1",NA,0.9125
"414048","Wilko Index Cards Multicoloured Pack","Wilko","Record and Index Cards",NA,NA,0.825
"427367","Wilko I Like Cats Exercise Books","Wilko","Exercise Books","1",NA,0.9125
"427383","Wilko I Like Cats Flip Notebook","Wilko","Notebooks","1",NA,0.9125
"427386","Wilko I Like Cats Plans And Ideas","Wilko","Journals, Planners and Organisers","1",NA,0.9125
"432507","Wilko Colourful Exercise Books","Wilko","Exercise Books","1",NA,0.9125
"432621","Wilko Address Book A6","Wilko","Address Books","1",NA,0.9125
"432623","Wilko Recipe Book","Wilko","Journals, Planners and Organisers","1",NA,0.9125
"53227","Wilko Handy Tablet Pad","Wilko","Notebooks",NA,"50Sheets",0.9125
"94596","Wilko Postcards White 12pk","Wilko","Postcards","12",NA,0.9125
"261624","Wilko Functional Spiral Notebook A4 80 Sheets","Wilko Functional","Notebooks",NA,"A4",0.9125
"261625","Wilko Functional Spiral Notebook A6 50 Sheets","Wilko Functional","Notebooks",NA,"A6",0.9125
