"Article","Web Description","Brand","Type","DQ Score"
"322005","Dovecraft 3D Foam Pads Square 400pk 5 x 5mm","Dovecraft","Adhesive Pads",1
"322034","Dovecraft Clear Card Bags Square 20pk 145 x 145mm","Dovecraft","Embellishments",1
"322042","Dovecraft Clear Card Bags C6 20pk 120 x 169mm","Dovecraft","Embellishments",1
"322049","Dovecraft Square Cards and Envelopes White 10pk14 x14 cm","Dovecraft","Craft Paper and Card",1
"322055","Dovecraft Cards and Envelopes Cream C6 10pk","Dovecraft","Craft Paper and Card",1
"322056","Dovecraft Cards and Envelopes White C6 10pk","Dovecraft","Craft Paper and Card",1
"322057","Dovecraft Square Cards and Envelopes Cream 10pk14 x 14cm","Dovecraft","Craft Paper and Card",1
"433056","Dovecraft Floral Muse Designer Paper6 x 6in 150gsm Assorted Designs 72 Sheets","Dovecraft","Paper pack",1
"433057","Dovecraft Floral Muse Card Butterflies Assorted Designs 10pk","Dovecraft","Muse Butterfly",1
"433058","Dovecraft Floral Muse Adhesive Pearls Assorted Colours and Sizes","Dovecraft","Adhesive Gems",1
"433059","Dovecraft Floral Muse Wooden Frames Assorted Designs 16pk","Dovecraft","Muse Frames",1
"433060","Dovecraft Floral Muse Clear Stamps 5pk","Dovecraft","Stamps",1
"433061","Dovecraft Floral Muse Accordion Stickers 8pk","Dovecraft","Stickers",1
"433062","Dovecraft Floral Muse Doilies Assorted Colours 30pk","Dovecraft","Decorative Doilies",1
"433063","Dovecraft Floral Muse A5 Sentiment Stickers","Dovecraft","Craft Accessories",1
"433064","Dovecraft Chalk Markers","Dovecraft","Craft Accessories",1
"433065","Dovecraft Back to Basics Paper Blossoms Assorted Colours, Designs and Sizes 30pk","Dovecraft","Decorative Blossoms",1
"433066","Dovecraft Sentiment Ribbons Assorted Designs 2m","Dovecraft","Decorative Ribbon",1
"433067","Dovecraft Floral Muse Ribbon Assorted Designs 2m","Dovecraft","Decorative Ribbon",1
"253459","Wilko A4 Scrap Book Assorted Colours Sheets 100GSM","Wilko","Scrapbooks",1
"416355","Wilko Card 220GSM A3 FSC White 8 Sheets","Wilko","Craft Paper and Card ",1
"416358","Wilko A4 Card Holographic 220gsm Assorted","Wilko","Craft Paper and Card",1
"416360","Wilko Card FSC A4 Pastel 220GSM Assorted","Wilko","Craft Paper and Card",1
"416362","Wilko Card FSC A4 Bright 220GSM Assorted","Wilko","Craft Paper and Card",1
"416366","Wilko PaperTissue FSC 16GSM 10pk","Wilko","Craft Paper and Card",1
"433042","Wilko Black Scrapbook 30 x 30cm 250gsm 20 Sheets","Wilko","Scrapbooks",1
"433043","Wilko Black Scrapbook 8 x 8in 250gsm 20 Sheets","Wilko","Scrapbooks",1
"433049","Wilko Craft Platter 836 pcs","Wilko","Craf Set",1
"433072","Wilko Let's Create Blue Scrapbooking Kit 8x8inch 20 Sheets with 10 Top Loading Pages","Wilko","Scrapbooks",1
"433073","Wilko Let's Create Pink Scrapbooking Kit 8x8inch 20 Sheets with 10 Top Loading Pages","Wilko","Scrapbooks",1
"253463","Wilko Functional A4 Fluorescent Pad 35 Sheets","Wilko Functional","Craft Paper and Card",1
