"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"331986","Paloma Paper Napkins Cream 2 Ply 33cm 20pk","Paloma","Napkins","20pk","33cmx33cm",1
"150004","Wilko Insulated Plates White 10pk","Wilko","Plates and Bowls","1","22.5x22.5cm",1
"190074","Wilko Doilies Assorted Sizes White 20 Pack","Wilko","Paper Doyleys","1","Assorted",1
"203981","Wilko Napkins 2 Ply White 100pk","Wilko","Napkins","100pk","2ply",1
"203989","Wilko Party Tumblers Clear Large 10pk","Wilko","Glasses","1","Large",1
"203991","Wilko Paper Plates Large White 30pk","Wilko","Plates and Bowls","1","Large",1
"233954","Wilko Foil Platters 3pk","Wilko","Platters","1","35x24.5cm",1
"330870","Wilko Round Platters Foil 3pk","Wilko","Plates and Bowls","3pk","3 Pack",1
"331938","Wilko Party Tumblers Clear Small 75pk","Wilko","Glasses","1","Half Pint",1
"331939","Wilko Disposable Serving Bowls Small 10pk","Wilko","Plates and Bowls","1","Small",1
"331940","Wilko Disposable Bowls Large 10pk","Wilko","Plates and Bowls","1","Large",1
"331941","Wilko Disposable Salad Bowls 2pk","Wilko","Plates and Bowls","1","2 Pack",1
"333429","Wilko Disposable Champagne Flutes Clear 10pk","Wilko","Glasses","1","10 Pack",1
"333445","Wilko Plastic Plates White 22cm 10pk","Wilko","Plates and Bowls","10pk","22cm",1
"332174","Wilko Functional Paper Bowls White 30pk","Wilko Functional","Plates and Bowls","30pk","30 Pack",1
